"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2789.9099999995087","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2796","0.0-0.0","","","","","",""
"25687.615000000733","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","28487","0.0-1.0","","","","","",""
"15489.104999998744","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","43979","0.0-2.0","","","","","",""
"2435.109999998531","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","46414","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","49417","0.0-4.0-0.0","fixation","","","","",""
"1085.5149999988498","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","50504","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","51506","0.0-4.0-0.1","fixation","","","","",""
"2876.329999999143","Stimuli/Hangul_E0.bmp","190","image-keyboard-response","7","54383","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","55385","0.0-4.0-0.2","fixation","","","","",""
"2667.955000000802","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","9","58055","0.0-4.0-1.2","c1_train",".",",","","",""
"2072.2399999995105","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","60128","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","63133","0.0-6.0-0.0","fixation","","","","",""
"2595.6550000009884","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","12","65731","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","66734","0.0-6.0-0.1","fixation","","","","",""
"2342.3249999996187","Stimuli/Hangul_F0.bmp","190","image-keyboard-response","14","69078","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","70080","0.0-6.0-0.2","fixation","","","","",""
"2233.619999999064","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","16","72314","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","73316","0.0-6.0-0.3","fixation","","","","",""
"2301.7799999997806","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","18","75620","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","76623","0.0-6.0-0.4","fixation","","","","",""
"2132.8450000000885","Stimuli/Hangul_M4.bmp","190","image-keyboard-response","20","78758","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","79761","0.0-6.0-0.5","fixation","","","","",""
"2041.1299999996118","Stimuli/Hangul_M5.bmp","188","image-keyboard-response","22","81803","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","82804","0.0-6.0-0.6","fixation","","","","",""
"2022.0849999986967","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","24","84827","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","85831","0.0-6.0-0.7","fixation","","","","",""
"4146.90999999948","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","26","89979","0.0-6.0-1.7","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","90981","0.0-6.0-0.8","fixation","","","","",""
"2076.73000000068","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","28","93060","0.0-6.0-1.8","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","94063","0.0-6.0-0.9","fixation","","","","",""
"1963.660000001255","Stimuli/Hangul_F19.bmp","190","image-keyboard-response","30","96028","0.0-6.0-1.9","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","97031","0.0-6.0-0.10","fixation","","","","",""
"2082.0149999999558","Stimuli/Hangul_F6.bmp","188","image-keyboard-response","32","99115","0.0-6.0-1.10","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","100117","0.0-6.0-0.11","fixation","","","","",""
"2029.5600000008562","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","34","102148","0.0-6.0-1.11","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","103150","0.0-6.0-0.12","fixation","","","","",""
"2310.639999999694","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","36","105462","0.0-6.0-1.12","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","106464","0.0-6.0-0.13","fixation","","","","",""
"2223.099999999249","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","38","108687","0.0-6.0-1.13","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","109689","0.0-6.0-0.14","fixation","","","","",""
"2100.4199999988487","Stimuli/Hangul_M16.bmp","190","image-keyboard-response","40","111790","0.0-6.0-1.14","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","112792","0.0-6.0-0.15","fixation","","","","",""
"2175.4000000000815","Stimuli/Hangul_M0.bmp","188","image-keyboard-response","42","114967","0.0-6.0-1.15","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","115968","0.0-6.0-0.16","fixation","","","","",""
"2067.2649999996793","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","44","118038","0.0-6.0-1.16","test",".","",",","",""
