"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2025.9899999946356","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2031","0.0-0.0","","","","","",""
"475986.67000001296","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","478019","0.0-1.0","","","","","",""
"3095.835000043735","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","481116","0.0-2.0","","","","","",""
"1845.48500017263","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","482962","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","485966","0.0-4.0-0.0","fixation","","","","",""
"4644.889999879524","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","490612","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","491614","0.0-4.0-0.1","fixation","","","","",""
"889.3349999561906","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","492504","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","493506","0.0-4.0-0.2","fixation","","","","",""
"161.07999999076128","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","493667","0.0-4.0-1.2","c1_train",",",",","","",""
"1710.084999911487","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","495378","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","498381","0.0-6.0-0.0","fixation","","","","",""
"392.34500005841255","Stimuli/Hangul_M7.bmp","190","image-keyboard-response","12","498774","0.0-6.0-1.0","test",",","",".","",""
