"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1596","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1601","0.0-0.0","","","","","",""
"58328","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","59932","0.0-1.0","","","","","",""
"9254","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","69188","0.0-2.0","","","","","",""
"4684","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","73877","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","76881","0.0-4.0-0.0","fixation","","","","",""
"1804","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","78692","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","79694","0.0-4.0-0.1","fixation","","","","",""
"1419","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","81115","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","82117","0.0-4.0-0.2","fixation","","","","",""
"1588","Stimuli/Hangul_E0.bmp","190","image-keyboard-response","9","83707","0.0-4.0-1.2","c1_train",",",".","","",""
"1545","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","85255","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","88258","0.0-6.0-0.0","fixation","","","","",""
"1195","Stimuli/Hangul_F12.bmp","190","image-keyboard-response","12","89456","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","90458","0.0-6.0-0.1","fixation","","","","",""
"1792","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","14","92254","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","93255","0.0-6.0-0.2","fixation","","","","",""
"1787","Stimuli/Hangul_M9.bmp","190","image-keyboard-response","16","95044","0.0-6.0-1.2","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","96045","0.0-6.0-0.3","fixation","","","","",""
"2503","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","18","98551","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","99552","0.0-6.0-0.4","fixation","","","","",""
"1946","Stimuli/Hangul_F3.bmp","190","image-keyboard-response","20","101500","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","102503","0.0-6.0-0.5","fixation","","","","",""
"1771","Stimuli/Hangul_M23.bmp","188","image-keyboard-response","22","104277","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","105279","0.0-6.0-0.6","fixation","","","","",""
"1454","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","24","106735","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","107736","0.0-6.0-0.7","fixation","","","","",""
"1453","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","26","109192","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","110192","0.0-6.0-0.8","fixation","","","","",""
"1386","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","28","111579","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","112581","0.0-6.0-0.9","fixation","","","","",""
"1464","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","30","114048","0.0-6.0-1.9","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","115049","0.0-6.0-0.10","fixation","","","","",""
"1695","Stimuli/Hangul_F20.bmp","188","image-keyboard-response","32","116745","0.0-6.0-1.10","test",".","",",","",""
