"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2352.5249999947846","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2366","0.0-0.0","","","","","",""
"35229.249999974854","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","37605","0.0-1.0","","","","","",""
"12570.100000011735","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","50178","0.0-2.0","","","","","",""
"5673.899999994319","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","55843","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","58862","0.0-4.0-0.0","fixation","","","","",""
"8557.394999952521","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","5","67426","0.0-4.0-1.0","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","68451","0.0-4.0-0.1","fixation","","","","",""
"2571.3700000196695","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","71024","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","72033","0.0-4.0-0.2","fixation","","","","",""
"7291.725000017323","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","9","79327","0.0-4.0-1.2","c1_train",",",",","","",""
"5243.819999974221","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","84574","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","87598","0.0-6.0-0.0","fixation","","","","",""
"4050.5649999831803","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","12","91654","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","92665","0.0-6.0-0.1","fixation","","","","",""
"3292.304999951739","Stimuli/Hangul_F20.bmp","188","image-keyboard-response","14","95961","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","96966","0.0-6.0-0.2","fixation","","","","",""
"2235.675000003539","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","16","99205","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","100220","0.0-6.0-0.3","fixation","","","","",""
"1798.9850000012666","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","18","102020","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","103029","0.0-6.0-0.4","fixation","","","","",""
"1946.9300000346266","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","20","104979","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","105984","0.0-6.0-0.5","fixation","","","","",""
"2769.6050000377","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","22","108755","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","109774","0.0-6.0-0.6","fixation","","","","",""
"3282.9649999621324","Stimuli/Hangul_F23.bmp","190","image-keyboard-response","24","113061","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","114084","0.0-6.0-0.7","fixation","","","","",""
"2262.7249999786727","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","26","116365","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","117371","0.0-6.0-0.8","fixation","","","","",""
"3138.875000004191","Stimuli/Hangul_F11.bmp","190","image-keyboard-response","28","120512","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","121526","0.0-6.0-0.9","fixation","","","","",""
"4698.654999956489","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","30","126229","0.0-6.0-1.9","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","127244","0.0-6.0-0.10","fixation","","","","",""
"2039.5099999732338","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","32","129286","0.0-6.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","130300","0.0-6.0-0.11","fixation","","","","",""
"2458.344999991823","Stimuli/Hangul_F6.bmp","188","image-keyboard-response","34","132760","0.0-6.0-1.11","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","133775","0.0-6.0-0.12","fixation","","","","",""
"3304.6000000322238","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","36","137083","0.0-6.0-1.12","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","138090","0.0-6.0-0.13","fixation","","","","",""
"2503.8799999747425","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","38","140598","0.0-6.0-1.13","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","141607","0.0-6.0-0.14","fixation","","","","",""
"2364.7900000214577","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","40","143973","0.0-6.0-1.14","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","144978","0.0-6.0-0.15","fixation","","","","",""
"2886.690000013914","Stimuli/Hangul_M24.bmp","190","image-keyboard-response","42","147868","0.0-6.0-1.15","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","148875","0.0-6.0-0.16","fixation","","","","",""
"3274.5750000467524","Stimuli/Hangul_F0.bmp","190","image-keyboard-response","44","152152","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","153171","0.0-6.0-0.17","fixation","","","","",""
"2592.9400000022724","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","46","155768","0.0-6.0-1.17","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","156778","0.0-6.0-0.18","fixation","","","","",""
"3319.4949999451637","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","48","160101","0.0-6.0-1.18","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","161118","0.0-6.0-0.19","fixation","","","","",""
"2672.5449999794364","Stimuli/Hangul_F10.bmp","188","image-keyboard-response","50","163794","0.0-6.0-1.19","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","164806","0.0-6.0-0.20","fixation","","","","",""
"2534.9799999967217","Stimuli/Hangul_M17.bmp","190","image-keyboard-response","52","167343","0.0-6.0-1.20","test",",","",".","",""
