"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1851.92499999539","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1863","0.0-0.0","","","","","",""
"19607.30999999214","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","21474","0.0-1.0","","","","","",""
"10868.705000000773","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","32345","0.0-2.0","","","","","",""
"2866.7049999930896","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","35213","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","38218","0.0-4.0-0.0","fixation","","","","",""
"4481.794999999693","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","42703","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","43708","0.0-4.0-0.1","fixation","","","","",""
"1668.9799999876413","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","45378","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","46380","0.0-4.0-0.2","fixation","","","","",""
"2391.6900000185706","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","9","48772","0.0-4.0-1.2","c1_train",".",".","","",""
"2793.455000006361","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","51568","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","54572","0.0-6.0-0.0","fixation","","","","",""
"2388.4499999985565","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","12","56963","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","57967","0.0-6.0-0.1","fixation","","","","",""
"2055.8149999997113","Stimuli/Hangul_M19.bmp","190","image-keyboard-response","14","60025","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","61027","0.0-6.0-0.2","fixation","","","","",""
"1573.5200000053737","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","16","62603","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","63604","0.0-6.0-0.3","fixation","","","","",""
"1432.0449999941047","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","18","65038","0.0-6.0-1.3","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","66039","0.0-6.0-0.4","fixation","","","","",""
"1678.6799999827053","Stimuli/Hangul_M0.bmp","188","image-keyboard-response","20","67720","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","68725","0.0-6.0-0.5","fixation","","","","",""
"1756.9500000099652","Stimuli/Hangul_F0.bmp","190","image-keyboard-response","22","70484","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","71486","0.0-6.0-0.6","fixation","","","","",""
"1509.9800000025425","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","24","72997","0.0-6.0-1.6","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","74001","0.0-6.0-0.7","fixation","","","","",""
"1526.2449999863748","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","26","75528","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","76531","0.0-6.0-0.8","fixation","","","","",""
"2923.964999994496","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","28","79456","0.0-6.0-1.8","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","80457","0.0-6.0-0.9","fixation","","","","",""
"1646.1849999905098","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","30","82105","0.0-6.0-1.9","test",",","",",","",""
