"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2972.3249999951804","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2978","0.0-0.0","","","","","",""
"57709.914999999455","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","60689","0.0-1.0","","","","","",""
"13495.475000003353","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","74185","0.0-2.0","","","","","",""
"5526.570000001811","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","79712","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","82715","0.0-4.0-0.0","fixation","","","","",""
"2652.784999998403","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","5","85369","0.0-4.0-1.0","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","86370","0.0-4.0-0.1","fixation","","","","",""
"1845.9449999936623","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","7","88216","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","89218","0.0-4.0-0.2","fixation","","","","",""
"1797.0800000039162","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","91016","0.0-4.0-1.2","c1_train",",",",","","",""
"4247.280000010505","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","95264","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","98267","0.0-6.0-0.0","fixation","","","","",""
"2204.695000007632","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","12","100472","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","101474","0.0-6.0-0.1","fixation","","","","",""
"1829.07000000705","Stimuli/Hangul_F0.bmp","190","image-keyboard-response","14","103304","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","104305","0.0-6.0-0.2","fixation","","","","",""
"1918.6849999969127","Stimuli/Hangul_M15.bmp","190","image-keyboard-response","16","106224","0.0-6.0-1.2","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","107226","0.0-6.0-0.3","fixation","","","","",""
"1717.6449999969918","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","18","108945","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","109950","0.0-6.0-0.4","fixation","","","","",""
"2034.4650000042748","Stimuli/Hangul_F17.bmp","188","image-keyboard-response","20","111985","0.0-6.0-1.4","test",".","",",","",""
