"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"23352.429999999003","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","76","html-keyboard-response","0","23387","0.0-0.0","","","","","",""
"108417.79499998665","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","131809","0.0-1.0","","","","","",""
"1380.6250000197906","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","133193","0.0-2.0","","","","","",""
"789.6099999779835","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","133986","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","136996","0.0-4.0-0.0","fixation","","","","",""
"1939.8950000177138","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","138941","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","139951","0.0-4.0-0.1","fixation","","","","",""
"2304.4649999937974","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","142261","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","143266","0.0-4.0-0.2","fixation","","","","",""
"2004.849999997532","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","145275","0.0-4.0-1.2","c1_train",",",",","","",""
"2908.2000000053085","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","148186","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","151191","0.0-6.0-0.0","fixation","","","","",""
"2205.0950000120793","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","12","153408","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","154413","0.0-6.0-0.1","fixation","","","","",""
"1796.7000000062399","Stimuli/Hangul_F14.bmp","188","image-keyboard-response","14","156213","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","157218","0.0-6.0-0.2","fixation","","","","",""
"1900.0649999943562","Stimuli/Hangul_F4.bmp","188","image-keyboard-response","16","159123","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","160126","0.0-6.0-0.3","fixation","","","","",""
