"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2353.179999990971","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2372","0.0-0.0","","","","","",""
"4526.525000008405","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","6901","0.0-1.0","","","","","",""
"5128.710000004503","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","12031","0.0-2.0","","","","","",""
"1136.915000010049","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","13169","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","16175","0.0-4.0-0.0","fixation","","","","",""
"1917.3600000067381","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","18095","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","19100","0.0-4.0-0.1","fixation","","","","",""
"1277.8499999985797","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","20379","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","21382","0.0-4.0-0.2","fixation","","","","",""
"1661.724999998114","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","23045","0.0-4.0-1.2","c1_train",",",",","","",""
"1790.080000006128","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","24837","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","27842","0.0-6.0-0.0","fixation","","","","",""
"1455.790000007255","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","12","29299","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","30304","0.0-6.0-0.1","fixation","","","","",""
"1952.1550000063144","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","14","32258","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","33261","0.0-6.0-0.2","fixation","","","","",""
"2407.695000001695","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","16","35670","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","36674","0.0-6.0-0.3","fixation","","","","",""
"2332.3200000013458","Stimuli/Hangul_M24.bmp","188","image-keyboard-response","18","39009","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","40011","0.0-6.0-0.4","fixation","","","","",""
"1561.0350000060862","Stimuli/Hangul_F11.bmp","188","image-keyboard-response","20","41574","0.0-6.0-1.4","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","42576","0.0-6.0-0.5","fixation","","","","",""
"2090.8849999977974","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","22","44668","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","45672","0.0-6.0-0.6","fixation","","","","",""
"2292.65000000305","Stimuli/Hangul_M10.bmp","188","image-keyboard-response","24","47967","0.0-6.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","48970","0.0-6.0-0.7","fixation","","","","",""
"1962.1699999988778","Stimuli/Hangul_M19.bmp","190","image-keyboard-response","26","50934","0.0-6.0-1.7","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","51937","0.0-6.0-0.8","fixation","","","","",""
"1526.6499999997905","Stimuli/Hangul_F18.bmp","190","image-keyboard-response","28","53466","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","54468","0.0-6.0-0.9","fixation","","","","",""
"2022.2650000068825","Stimuli/Hangul_M1.bmp","188","image-keyboard-response","30","56491","0.0-6.0-1.9","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","57495","0.0-6.0-0.10","fixation","","","","",""
"2935.574999995879","Stimuli/Hangul_M6.bmp","190","image-keyboard-response","32","60431","0.0-6.0-1.10","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","61433","0.0-6.0-0.11","fixation","","","","",""
"1582.3149999923771","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","34","63017","0.0-6.0-1.11","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","64020","0.0-6.0-0.12","fixation","","","","",""
"1808.5799999971641","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","36","65830","0.0-6.0-1.12","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","66833","0.0-6.0-0.13","fixation","","","","",""
"1536.355000003823","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","38","68371","0.0-6.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","69375","0.0-6.0-0.14","fixation","","","","",""
"2067.385000002105","Stimuli/Hangul_F19.bmp","188","image-keyboard-response","40","71443","0.0-6.0-1.14","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","72447","0.0-6.0-0.15","fixation","","","","",""
"1582.8599999949802","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","42","74031","0.0-6.0-1.15","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","75034","0.0-6.0-0.16","fixation","","","","",""
"1504.109999994398","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","44","76539","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","77541","0.0-6.0-0.17","fixation","","","","",""
"1539.0450000122655","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","46","79081","0.0-6.0-1.17","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","80088","0.0-6.0-0.18","fixation","","","","",""
"1558.8150000112364","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","48","81649","0.0-6.0-1.18","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","82650","0.0-6.0-0.19","fixation","","","","",""
"1943.4550000005402","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","50","84595","0.0-6.0-1.19","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","85599","0.0-6.0-0.20","fixation","","","","",""
"1884.2900000017835","Stimuli/Hangul_M5.bmp","190","image-keyboard-response","52","87484","0.0-6.0-1.20","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","88489","0.0-6.0-0.21","fixation","","","","",""
"1660.490000009304","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","54","90152","0.0-6.0-1.21","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","91158","0.0-6.0-0.22","fixation","","","","",""
"2018.96499999566","Stimuli/Hangul_M9.bmp","190","image-keyboard-response","56","93178","0.0-6.0-1.22","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","94182","0.0-6.0-0.23","fixation","","","","",""
"1503.5950000019511","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","58","95688","0.0-6.0-1.23","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","96690","0.0-6.0-0.24","fixation","","","","",""
"1673.1149999977788","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","60","98364","0.0-6.0-1.24","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","99367","0.0-6.0-0.25","fixation","","","","",""
"1685.66999999166","Stimuli/Hangul_M18.bmp","188","image-keyboard-response","62","101053","0.0-6.0-1.25","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","63","102060","0.0-6.0-0.26","fixation","","","","",""
"1951.90499999444","Stimuli/Hangul_F24.bmp","188","image-keyboard-response","64","104014","0.0-6.0-1.26","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","65","105019","0.0-6.0-0.27","fixation","","","","",""
"2219.570000001113","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","66","107240","0.0-6.0-1.27","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","67","108246","0.0-6.0-0.28","fixation","","","","",""
"2694.439999992028","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","68","110942","0.0-6.0-1.28","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","69","111946","0.0-6.0-0.29","fixation","","","","",""
"2256.6749999969034","Stimuli/Hangul_M0.bmp","190","image-keyboard-response","70","114205","0.0-6.0-1.29","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","115206","0.0-6.0-0.30","fixation","","","","",""
"2124.7549999970943","Stimuli/Hangul_M15.bmp","188","image-keyboard-response","72","117333","0.0-6.0-1.30","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","73","118337","0.0-6.0-0.31","fixation","","","","",""
"2210.189999997965","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","74","120549","0.0-6.0-1.31","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","75","121550","0.0-6.0-0.32","fixation","","","","",""
"3388.4350000007544","Stimuli/Hangul_F17.bmp","188","image-keyboard-response","76","124940","0.0-6.0-1.32","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","77","125941","0.0-6.0-0.33","fixation","","","","",""
"1842.2299999947427","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","78","127785","0.0-6.0-1.33","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","79","128790","0.0-6.0-0.34","fixation","","","","",""
"2365.720000001602","Stimuli/Hangul_F6.bmp","190","image-keyboard-response","80","131157","0.0-6.0-1.34","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","132160","0.0-6.0-0.35","fixation","","","","",""
"2337.789999990491","Stimuli/Hangul_F9.bmp","190","image-keyboard-response","82","134500","0.0-6.0-1.35","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","83","135503","0.0-6.0-0.36","fixation","","","","",""
"2012.9099999903701","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","84","137517","0.0-6.0-1.36","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","85","138524","0.0-6.0-0.37","fixation","","","","",""
"1846.8700000084937","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","86","140372","0.0-6.0-1.37","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","87","141373","0.0-6.0-0.38","fixation","","","","",""
"1527.1900000079768","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","88","142904","0.0-6.0-1.38","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","89","143905","0.0-6.0-0.39","fixation","","","","",""
"1371.22499999532","Stimuli/Hangul_F7.bmp","188","image-keyboard-response","90","145277","0.0-6.0-1.39","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","146284","0.0-6.0-0.40","fixation","","","","",""
"1625.4700000135927","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","92","147911","0.0-6.0-1.40","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","93","148913","0.0-6.0-0.41","fixation","","","","",""
"2089.829999997164","Stimuli/Hangul_F2.bmp","190","image-keyboard-response","94","151003","0.0-6.0-1.41","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","95","152005","0.0-6.0-0.42","fixation","","","","",""
"2586.36000000115","Stimuli/Hangul_M3.bmp","190","image-keyboard-response","96","154592","0.0-6.0-1.42","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","97","155598","0.0-6.0-0.43","fixation","","","","",""
"2087.295000004815","Stimuli/Hangul_F3.bmp","190","image-keyboard-response","98","157686","0.0-6.0-1.43","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","99","158691","0.0-6.0-0.44","fixation","","","","",""
"1807.6949999958742","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","100","160501","0.0-6.0-1.44","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","101","161503","0.0-6.0-0.45","fixation","","","","",""
"1445.2949999977136","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","102","162950","0.0-6.0-1.45","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","103","163956","0.0-6.0-0.46","fixation","","","","",""
"2122.0549999998184","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","104","166080","0.0-6.0-1.46","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","105","167086","0.0-6.0-0.47","fixation","","","","",""
"1532.4800000089454","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","106","168620","0.0-6.0-1.47","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","107","169623","0.0-6.0-0.48","fixation","","","","",""
"2172.3950000014156","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","108","171797","0.0-6.0-1.48","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","109","172800","0.0-6.0-0.49","fixation","","","","",""
"1861.429999989923","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","110","174663","0.0-6.0-1.49","test",",","",",","",""
"1382.8150000044843","<p style=""color:white;"">Good job, block 1 complete! Please take a moment to rest.</p> <p style=""color:white;"">When you are ready to continue with block 2 of 4, press the space bar.</p> ","32","html-keyboard-response","111","176047","0.0-7.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","112","179056","0.0-8.0-0.0","fixation","","","","",""
"2174.3750000023283","Stimuli/Hangul_F41.bmp","188","image-keyboard-response","113","181233","0.0-8.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","114","182236","0.0-8.0-0.1","fixation","","","","",""
"1393.6149999935878","Stimuli/Hangul_F39.bmp","190","image-keyboard-response","115","183631","0.0-8.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","116","184633","0.0-8.0-0.2","fixation","","","","",""
"2157.265000001644","Stimuli/Hangul_F28.bmp","190","image-keyboard-response","117","186791","0.0-8.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","118","187797","0.0-8.0-0.3","fixation","","","","",""
"1601.5999999945052","Stimuli/Hangul_M44.bmp","188","image-keyboard-response","119","189400","0.0-8.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","120","190405","0.0-8.0-0.4","fixation","","","","",""
"1818.6549999954877","Stimuli/Hangul_M46.bmp","188","image-keyboard-response","121","192224","0.0-8.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","122","193227","0.0-8.0-0.5","fixation","","","","",""
"1843.8400000013644","Stimuli/Hangul_M41.bmp","188","image-keyboard-response","123","195072","0.0-8.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","124","196074","0.0-8.0-0.6","fixation","","","","",""
"2514.8900000058347","Stimuli/Hangul_F36.bmp","190","image-keyboard-response","125","198590","0.0-8.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","126","199592","0.0-8.0-0.7","fixation","","","","",""
"1484.085000003688","Stimuli/Hangul_F31.bmp","190","image-keyboard-response","127","201077","0.0-8.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","128","202084","0.0-8.0-0.8","fixation","","","","",""
"3169.59499999939","Stimuli/Hangul_M31.bmp","188","image-keyboard-response","129","205254","0.0-8.0-1.8","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","130","206260","0.0-8.0-0.9","fixation","","","","",""
"1363.4100000053877","Stimuli/Hangul_F34.bmp","190","image-keyboard-response","131","207625","0.0-8.0-1.9","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","132","208629","0.0-8.0-0.10","fixation","","","","",""
"1672.1200000029057","Stimuli/Hangul_F43.bmp","190","image-keyboard-response","133","210302","0.0-8.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","134","211303","0.0-8.0-0.11","fixation","","","","",""
"1551.5849999937927","Stimuli/Hangul_F45.bmp","188","image-keyboard-response","135","212856","0.0-8.0-1.11","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","136","213858","0.0-8.0-0.12","fixation","","","","",""
"1642.3150000046007","Stimuli/Hangul_F29.bmp","190","image-keyboard-response","137","215502","0.0-8.0-1.12","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","138","216503","0.0-8.0-0.13","fixation","","","","",""
"2349.7449999995297","Stimuli/Hangul_M43.bmp","188","image-keyboard-response","139","218854","0.0-8.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","140","219858","0.0-8.0-0.14","fixation","","","","",""
"1489.5499999984168","Stimuli/Hangul_F32.bmp","190","image-keyboard-response","141","221349","0.0-8.0-1.14","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","142","222356","0.0-8.0-0.15","fixation","","","","",""
"1592.1649999945657","Stimuli/Hangul_M30.bmp","188","image-keyboard-response","143","223949","0.0-8.0-1.15","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","144","224956","0.0-8.0-0.16","fixation","","","","",""
"2099.86500001105","Stimuli/Hangul_M42.bmp","188","image-keyboard-response","145","227057","0.0-8.0-1.16","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","146","228059","0.0-8.0-0.17","fixation","","","","",""
"2255.300000004354","Stimuli/Hangul_F47.bmp","188","image-keyboard-response","147","230317","0.0-8.0-1.17","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","148","231319","0.0-8.0-0.18","fixation","","","","",""
"1955.2649999968708","Stimuli/Hangul_F48.bmp","188","image-keyboard-response","149","233276","0.0-8.0-1.18","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","150","234282","0.0-8.0-0.19","fixation","","","","",""
"1894.3399999989197","Stimuli/Hangul_M27.bmp","188","image-keyboard-response","151","236178","0.0-8.0-1.19","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","152","237181","0.0-8.0-0.20","fixation","","","","",""
"1483.7899999984074","Stimuli/Hangul_F42.bmp","190","image-keyboard-response","153","238666","0.0-8.0-1.20","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","154","239673","0.0-8.0-0.21","fixation","","","","",""
"1880.604999998468","Stimuli/Hangul_M26.bmp","188","image-keyboard-response","155","241555","0.0-8.0-1.21","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","156","242559","0.0-8.0-0.22","fixation","","","","",""
"1399.5399999985239","Stimuli/Hangul_F30.bmp","190","image-keyboard-response","157","243963","0.0-8.0-1.22","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","158","244967","0.0-8.0-0.23","fixation","","","","",""
"1626.6599999944447","Stimuli/Hangul_M38.bmp","188","image-keyboard-response","159","246594","0.0-8.0-1.23","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","160","247599","0.0-8.0-0.24","fixation","","","","",""
"1561.7099999944912","Stimuli/Hangul_F37.bmp","190","image-keyboard-response","161","249163","0.0-8.0-1.24","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","162","250166","0.0-8.0-0.25","fixation","","","","",""
"1750.0549999967916","Stimuli/Hangul_F25.bmp","188","image-keyboard-response","163","251917","0.0-8.0-1.25","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","164","252923","0.0-8.0-0.26","fixation","","","","",""
"2739.5899999974063","Stimuli/Hangul_M35.bmp","188","image-keyboard-response","165","255663","0.0-8.0-1.26","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","166","256670","0.0-8.0-0.27","fixation","","","","",""
"1691.225000002305","Stimuli/Hangul_F40.bmp","188","image-keyboard-response","167","258363","0.0-8.0-1.27","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","168","259365","0.0-8.0-0.28","fixation","","","","",""
"1518.51500000339","Stimuli/Hangul_M40.bmp","188","image-keyboard-response","169","260886","0.0-8.0-1.28","test",",","",",","",""
