"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2594","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2616","0.0-0.0","","","","","",""
"60628","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","63259","0.0-1.0","","","","","",""
"8967","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","72238","0.0-2.0","","","","","",""
"3623","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","75873","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","78893","0.0-4.0-0.0","fixation","","","","",""
"2468","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","81369","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","82394","0.0-4.0-0.1","fixation","","","","",""
"1737","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","84146","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","85164","0.0-4.0-0.2","fixation","","","","",""
"1620","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","86795","0.0-4.0-1.2","c1_train",",",",","","",""
"1610","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","88411","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","91445","0.0-6.0-0.0","fixation","","","","",""
"2736","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","12","94194","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","95203","0.0-6.0-0.1","fixation","","","","",""
"1843","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","14","97056","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","98074","0.0-6.0-0.2","fixation","","","","",""
"1829","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","16","99916","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","100924","0.0-6.0-0.3","fixation","","","","",""
"1687","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","18","102621","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","103639","0.0-6.0-0.4","fixation","","","","",""
"1799","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","20","105450","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","106457","0.0-6.0-0.5","fixation","","","","",""
"1539","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","22","108001","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","109003","0.0-6.0-0.6","fixation","","","","",""
"1743","Stimuli/Hangul_M10.bmp","188","image-keyboard-response","24","110755","0.0-6.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","111764","0.0-6.0-0.7","fixation","","","","",""
"2110","Stimuli/Hangul_F11.bmp","188","image-keyboard-response","26","113886","0.0-6.0-1.7","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","114893","0.0-6.0-0.8","fixation","","","","",""
"1766","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","28","116669","0.0-6.0-1.8","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","117693","0.0-6.0-0.9","fixation","","","","",""
"2065","Stimuli/Hangul_M24.bmp","190","image-keyboard-response","30","119765","0.0-6.0-1.9","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","120773","0.0-6.0-0.10","fixation","","","","",""
"2087","Stimuli/Hangul_F16.bmp","190","image-keyboard-response","32","122871","0.0-6.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","123894","0.0-6.0-0.11","fixation","","","","",""
"1839","Stimuli/Hangul_F17.bmp","188","image-keyboard-response","34","125742","0.0-6.0-1.11","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","126758","0.0-6.0-0.12","fixation","","","","",""
"1604","Stimuli/Hangul_M5.bmp","190","image-keyboard-response","36","128366","0.0-6.0-1.12","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","129375","0.0-6.0-0.13","fixation","","","","",""
"1682","Stimuli/Hangul_M3.bmp","188","image-keyboard-response","38","131061","0.0-6.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","132073","0.0-6.0-0.14","fixation","","","","",""
"1435","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","40","133516","0.0-6.0-1.14","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","134534","0.0-6.0-0.15","fixation","","","","",""
"1599","Stimuli/Hangul_M11.bmp","190","image-keyboard-response","42","136138","0.0-6.0-1.15","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","137154","0.0-6.0-0.16","fixation","","","","",""
"1569","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","44","138733","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","139754","0.0-6.0-0.17","fixation","","","","",""
"1713","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","46","141477","0.0-6.0-1.17","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","142494","0.0-6.0-0.18","fixation","","","","",""
"2253","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","48","144754","0.0-6.0-1.18","test",".","",",","",""
