"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"561401.8749999814","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","561409","0.0-0.0","","","","","",""
"44314.54999977723","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","605728","0.0-1.0","","","","","",""
"11060.694999992847","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","616791","0.0-2.0","","","","","",""
"5068.479999899864","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","621861","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","624865","0.0-4.0-0.0","fixation","","","","",""
"2992.405000142753","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","627862","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","628864","0.0-4.0-0.1","fixation","","","","",""
"3442.629999946803","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","632308","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","633310","0.0-4.0-0.2","fixation","","","","",""
"2779.4299996457994","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","636093","0.0-4.0-1.2","c1_train",",",",","","",""
"8270.404999610037","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","644365","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","647370","0.0-6.0-0.0","fixation","","","","",""
"2311.2400001846254","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","12","649685","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","650688","0.0-6.0-0.1","fixation","","","","",""
"2146.7900001443923","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","14","652836","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","653838","0.0-6.0-0.2","fixation","","","","",""
"2380.850000306964","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","16","656221","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","657224","0.0-6.0-0.3","fixation","","","","",""
"3626.6149999573827","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","18","660852","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","661856","0.0-6.0-0.4","fixation","","","","",""
"2497.5649998523295","Stimuli/Hangul_F24.bmp","188","image-keyboard-response","20","664356","0.0-6.0-1.4","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","665359","0.0-6.0-0.5","fixation","","","","",""
"4166.395000182092","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","22","669526","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","670529","0.0-6.0-0.6","fixation","","","","",""
"3328.7700000219047","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","24","673861","0.0-6.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","674886","0.0-6.0-0.7","fixation","","","","",""
