"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"5930.509999976493","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","5936","0.0-0.0","","","","","",""
"2102.290000068024","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","8040","0.0-1.0","","","","","",""
"831.6500000655651","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","8872","0.0-2.0","","","","","",""
"294.17500004637986","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","9167","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","12168","0.0-4.0-0.0","fixation","","","","",""
"1005.2249999716878","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","5","13175","0.0-4.0-1.0","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","14177","0.0-4.0-0.1","fixation","","","","",""
"558.4850000450388","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","14736","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","15738","0.0-4.0-0.2","fixation","","","","",""
"405.49000003375113","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","16144","0.0-4.0-1.2","c1_train",",",".","","",""
"903.2550000119954","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","17048","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","20050","0.0-6.0-0.0","fixation","","","","",""
"597.0000000670552","Stimuli/Hangul_F14.bmp","188","image-keyboard-response","12","20648","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","21651","0.0-6.0-0.1","fixation","","","","",""
"892.3949999734759","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","14","22544","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","23545","0.0-6.0-0.2","fixation","","","","",""
"445.52499998826534","Stimuli/Hangul_F4.bmp","188","image-keyboard-response","16","23991","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","24993","0.0-6.0-0.3","fixation","","","","",""
"518.1099999463186","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","18","25512","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","26514","0.0-6.0-0.4","fixation","","","","",""
"437.36499990336597","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","20","26952","0.0-6.0-1.4","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","27953","0.0-6.0-0.5","fixation","","","","",""
"446.2999999523163","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","22","28400","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","29401","0.0-6.0-0.6","fixation","","","","",""
