"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2887.8050000057556","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2894","0.0-0.0","","","","","",""
"30624.225000006845","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","33519","0.0-1.0","","","","","",""
"7423.535000008997","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","40943","0.0-2.0","","","","","",""
"19144.304999994347","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","60088","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","63090","0.0-4.0-0.0","fixation","","","","",""
"4383.4499999939","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","5","67475","0.0-4.0-1.0","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","68476","0.0-4.0-0.1","fixation","","","","",""
"2803.60000001383","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","7","71281","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","72282","0.0-4.0-0.2","fixation","","","","",""
"2374.180000013439","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","74657","0.0-4.0-1.2","c1_train",",",",","","",""
"2423.2800000172574","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","77081","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","80083","0.0-6.0-0.0","fixation","","","","",""
"2471.6850000259","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","12","82556","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","83556","0.0-6.0-0.1","fixation","","","","",""
"2908.3300000056624","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","14","86465","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","87466","0.0-6.0-0.2","fixation","","","","",""
"2150.774999987334","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","16","89617","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","90618","0.0-6.0-0.3","fixation","","","","",""
"4016.9049999967683","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","18","94636","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","95638","0.0-6.0-0.4","fixation","","","","",""
"3555.6199999991804","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","20","99194","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","100195","0.0-6.0-0.5","fixation","","","","",""
"2526.624999998603","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","22","102722","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","103725","0.0-6.0-0.6","fixation","","","","",""
"2047.4599999724887","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","24","105773","0.0-6.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","106774","0.0-6.0-0.7","fixation","","","","",""
"1811.0499999893364","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","26","108586","0.0-6.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","109588","0.0-6.0-0.8","fixation","","","","",""
"2582.250000006752","Stimuli/Hangul_F20.bmp","188","image-keyboard-response","28","112171","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","113172","0.0-6.0-0.9","fixation","","","","",""
"4472.789999999804","Stimuli/Hangul_M3.bmp","188","image-keyboard-response","30","117646","0.0-6.0-1.9","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","118647","0.0-6.0-0.10","fixation","","","","",""
"2114.999999990687","Stimuli/Hangul_F23.bmp","190","image-keyboard-response","32","120763","0.0-6.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","121764","0.0-6.0-0.11","fixation","","","","",""
