"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2249.970000004396","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2272","0.0-0.0","","","","","",""
"33012.39499999792","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","35286","0.0-1.0","","","","","",""
"10424.684999976307","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","45712","0.0-2.0","","","","","",""
"6635.970000002999","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","52349","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","55354","0.0-4.0-0.0","fixation","","","","",""
"2161.08499999973","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","5","57517","0.0-4.0-1.0","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","58522","0.0-4.0-0.1","fixation","","","","",""
"2104.529999982333","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","60627","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","61631","0.0-4.0-0.2","fixation","","","","",""
"2036.2700000114273","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","9","63668","0.0-4.0-1.2","c1_train",",",",","","",""
"1938.4600000048522","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","65608","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","68614","0.0-6.0-0.0","fixation","","","","",""
"2556.539999990491","Stimuli/Hangul_M11.bmp","190","image-keyboard-response","12","71172","0.0-6.0-1.0","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","72174","0.0-6.0-0.1","fixation","","","","",""
"1857.335000007879","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","14","74032","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","75036","0.0-6.0-0.2","fixation","","","","",""
"1777.6250000169966","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","16","76814","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","77815","0.0-6.0-0.3","fixation","","","","",""
"1986.0099999932572","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","18","79802","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","80807","0.0-6.0-0.4","fixation","","","","",""
"2356.534999998985","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","20","83165","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","84168","0.0-6.0-0.5","fixation","","","","",""
"2037.5800000037998","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","22","86207","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","87211","0.0-6.0-0.6","fixation","","","","",""
"1809.964999993099","Stimuli/Hangul_M10.bmp","188","image-keyboard-response","24","89023","0.0-6.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","90030","0.0-6.0-0.7","fixation","","","","",""
"1822.9350000037812","Stimuli/Hangul_F17.bmp","190","image-keyboard-response","26","91854","0.0-6.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","92859","0.0-6.0-0.8","fixation","","","","",""
"1991.8849999958184","Stimuli/Hangul_M15.bmp","188","image-keyboard-response","28","94852","0.0-6.0-1.8","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","95854","0.0-6.0-0.9","fixation","","","","",""
"1801.514999999199","Stimuli/Hangul_M21.bmp","190","image-keyboard-response","30","97657","0.0-6.0-1.9","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","98658","0.0-6.0-0.10","fixation","","","","",""
"1712.5100000121165","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","32","100373","0.0-6.0-1.10","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","101374","0.0-6.0-0.11","fixation","","","","",""
"2050.53500001668","Stimuli/Hangul_M18.bmp","188","image-keyboard-response","34","103426","0.0-6.0-1.11","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","104430","0.0-6.0-0.12","fixation","","","","",""
"1674.9300000083167","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","36","106106","0.0-6.0-1.12","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","107107","0.0-6.0-0.13","fixation","","","","",""
"1647.2300000023097","Stimuli/Hangul_F7.bmp","188","image-keyboard-response","38","108756","0.0-6.0-1.13","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","109761","0.0-6.0-0.14","fixation","","","","",""
"1880.8649999846239","Stimuli/Hangul_F20.bmp","188","image-keyboard-response","40","111643","0.0-6.0-1.14","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","112646","0.0-6.0-0.15","fixation","","","","",""
"2125.7599999953527","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","42","114773","0.0-6.0-1.15","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","115774","0.0-6.0-0.16","fixation","","","","",""
"1594.0150000096764","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","44","117370","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","118371","0.0-6.0-0.17","fixation","","","","",""
"1809.709999972256","Stimuli/Hangul_F24.bmp","190","image-keyboard-response","46","120181","0.0-6.0-1.17","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","121183","0.0-6.0-0.18","fixation","","","","",""
"1790.0950000039302","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","48","122975","0.0-6.0-1.18","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","123978","0.0-6.0-0.19","fixation","","","","",""
"1655.6449999916367","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","50","125635","0.0-6.0-1.19","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","126638","0.0-6.0-0.20","fixation","","","","",""
"1835.2900000172667","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","52","128475","0.0-6.0-1.20","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","129479","0.0-6.0-0.21","fixation","","","","",""
"1452.7100000123028","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","54","130933","0.0-6.0-1.21","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","131935","0.0-6.0-0.22","fixation","","","","",""
"1350.3400000045076","Stimuli/Hangul_F18.bmp","190","image-keyboard-response","56","133286","0.0-6.0-1.22","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","134291","0.0-6.0-0.23","fixation","","","","",""
"1343.4199999901466","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","58","135635","0.0-6.0-1.23","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","136638","0.0-6.0-0.24","fixation","","","","",""
"1449.6849999995902","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","60","138089","0.0-6.0-1.24","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","139091","0.0-6.0-0.25","fixation","","","","",""
"1515.559999999823","Stimuli/Hangul_F11.bmp","190","image-keyboard-response","62","140609","0.0-6.0-1.25","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","63","141611","0.0-6.0-0.26","fixation","","","","",""
"1780.6599999894388","Stimuli/Hangul_M5.bmp","188","image-keyboard-response","64","143393","0.0-6.0-1.26","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","65","144395","0.0-6.0-0.27","fixation","","","","",""
"1692.4050000088755","Stimuli/Hangul_F2.bmp","188","image-keyboard-response","66","146088","0.0-6.0-1.27","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","67","147091","0.0-6.0-0.28","fixation","","","","",""
"1683.6000000184868","Stimuli/Hangul_M6.bmp","188","image-keyboard-response","68","148777","0.0-6.0-1.28","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","69","149781","0.0-6.0-0.29","fixation","","","","",""
"1353.8800000096671","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","70","151136","0.0-6.0-1.29","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","152137","0.0-6.0-0.30","fixation","","","","",""
"1748.8500000035856","Stimuli/Hangul_M1.bmp","190","image-keyboard-response","72","153886","0.0-6.0-1.30","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","73","154891","0.0-6.0-0.31","fixation","","","","",""
"2630.875000002561","Stimuli/Hangul_M24.bmp","188","image-keyboard-response","74","157524","0.0-6.0-1.31","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","75","158527","0.0-6.0-0.32","fixation","","","","",""
"1784.010000003036","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","76","160312","0.0-6.0-1.32","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","77","161315","0.0-6.0-0.33","fixation","","","","",""
"1518.5449999989942","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","78","162835","0.0-6.0-1.33","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","79","163839","0.0-6.0-0.34","fixation","","","","",""
"1634.84499999322","Stimuli/Hangul_M0.bmp","188","image-keyboard-response","80","165475","0.0-6.0-1.34","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","166476","0.0-6.0-0.35","fixation","","","","",""
"1965.729999996256","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","82","168444","0.0-6.0-1.35","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","83","169447","0.0-6.0-0.36","fixation","","","","",""
"1807.4249999772292","Stimuli/Hangul_M3.bmp","188","image-keyboard-response","84","171256","0.0-6.0-1.36","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","85","172259","0.0-6.0-0.37","fixation","","","","",""
"2293.835000018589","Stimuli/Hangul_F23.bmp","190","image-keyboard-response","86","174554","0.0-6.0-1.37","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","87","175555","0.0-6.0-0.38","fixation","","","","",""
"2236.1499999824446","Stimuli/Hangul_F19.bmp","190","image-keyboard-response","88","177793","0.0-6.0-1.38","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","89","178795","0.0-6.0-0.39","fixation","","","","",""
"2569.2500000004657","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","90","181366","0.0-6.0-1.39","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","182367","0.0-6.0-0.40","fixation","","","","",""
"1755.845000006957","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","92","184124","0.0-6.0-1.40","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","93","185128","0.0-6.0-0.41","fixation","","","","",""
"1716.5050000185147","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","94","186846","0.0-6.0-1.41","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","95","187848","0.0-6.0-0.42","fixation","","","","",""
"1674.4150000158697","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","96","189523","0.0-6.0-1.42","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","97","190528","0.0-6.0-0.43","fixation","","","","",""
"1903.5250000015367","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","98","192432","0.0-6.0-1.43","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","99","193436","0.0-6.0-0.44","fixation","","","","",""
"1848.4150000149384","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","100","195286","0.0-6.0-1.44","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","101","196287","0.0-6.0-0.45","fixation","","","","",""
"1505.6750000221655","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","102","197794","0.0-6.0-1.45","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","103","198795","0.0-6.0-0.46","fixation","","","","",""
"1534.1500000213273","Stimuli/Hangul_F6.bmp","188","image-keyboard-response","104","200331","0.0-6.0-1.46","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","105","201335","0.0-6.0-0.47","fixation","","","","",""
"1753.5199999983888","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","106","203090","0.0-6.0-1.47","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","107","204096","0.0-6.0-0.48","fixation","","","","",""
"1870.6949999905191","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","108","205967","0.0-6.0-1.48","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","109","206969","0.0-6.0-0.49","fixation","","","","",""
"1981.3800000119954","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","110","208952","0.0-6.0-1.49","test",".","",",","",""
"6226.219999982277","<p style=""color:white;"">Good job, block 1 complete! Please take a moment to rest.</p> <p style=""color:white;"">When you are ready to continue with block 2 of 4, press the space bar.</p> ","32","html-keyboard-response","111","215180","0.0-7.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","112","218184","0.0-8.0-0.0","fixation","","","","",""
"1476.2300000002142","Stimuli/Hangul_F44.bmp","190","image-keyboard-response","113","219662","0.0-8.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","114","220664","0.0-8.0-0.1","fixation","","","","",""
"1501.894999993965","Stimuli/Hangul_F30.bmp","190","image-keyboard-response","115","222167","0.0-8.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","116","223168","0.0-8.0-0.2","fixation","","","","",""
"1567.944999987958","Stimuli/Hangul_M28.bmp","188","image-keyboard-response","117","224737","0.0-8.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","118","225740","0.0-8.0-0.3","fixation","","","","",""
"2003.2899999932852","Stimuli/Hangul_M26.bmp","188","image-keyboard-response","119","227744","0.0-8.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","120","228750","0.0-8.0-0.4","fixation","","","","",""
"1995.374999998603","Stimuli/Hangul_M43.bmp","188","image-keyboard-response","121","230746","0.0-8.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","122","231753","0.0-8.0-0.5","fixation","","","","",""
"2330.0599999784026","Stimuli/Hangul_F48.bmp","188","image-keyboard-response","123","234084","0.0-8.0-1.5","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","124","235088","0.0-8.0-0.6","fixation","","","","",""
"2039.7700000030454","Stimuli/Hangul_M44.bmp","188","image-keyboard-response","125","237129","0.0-8.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","126","238131","0.0-8.0-0.7","fixation","","","","",""
"1709.884999989299","Stimuli/Hangul_F31.bmp","190","image-keyboard-response","127","239842","0.0-8.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","128","240844","0.0-8.0-0.8","fixation","","","","",""
"1587.2800000070129","Stimuli/Hangul_M30.bmp","188","image-keyboard-response","129","242433","0.0-8.0-1.8","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","130","243436","0.0-8.0-0.9","fixation","","","","",""
"1606.5349999989849","Stimuli/Hangul_F26.bmp","188","image-keyboard-response","131","245043","0.0-8.0-1.9","test",".","",",","",""
