"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2777.1150000044145","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","190","html-keyboard-response","0","2788","0.0-0.0","","","","","",""
"1566.034999996191","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","4356","0.0-1.0","","","","","",""
"13042.385000007926","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","17399","0.0-2.0","","","","","",""
"6769.440000003669","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","24170","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","27173","0.0-4.0-0.0","fixation","","","","",""
"2100.754999992205","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","29276","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","30277","0.0-4.0-0.1","fixation","","","","",""
"1993.7000000209082","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","32271","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","33274","0.0-4.0-0.2","fixation","","","","",""
"2515.704999997979","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","9","35791","0.0-4.0-1.2","c1_train",".",".","","",""
"2554.115000006277","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","38346","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","41350","0.0-6.0-0.0","fixation","","","","",""
"1726.4700000232551","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","12","43080","0.0-6.0-1.0","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","44082","0.0-6.0-0.1","fixation","","","","",""
"1268.6849999881815","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","14","45351","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","46354","0.0-6.0-0.2","fixation","","","","",""
"1330.5299999774434","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","16","47685","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","48688","0.0-6.0-0.3","fixation","","","","",""
"2084.4799999904353","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","18","50773","0.0-6.0-1.3","test",",","",",","",""
