"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2736.3099999784026","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2751","0.0-0.0","","","","","",""
"25509.90499998443","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","28267","0.0-1.0","","","","","",""
"13015.405000012834","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","41284","0.0-2.0","","","","","",""
"4617.434999992838","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","45904","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","48912","0.0-4.0-0.0","fixation","","","","",""
"1642.6600000122562","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","5","50561","0.0-4.0-1.0","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","51564","0.0-4.0-0.1","fixation","","","","",""
"1535.135000012815","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","53101","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","54105","0.0-4.0-0.2","fixation","","","","",""
"1278.584999992745","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","55386","0.0-4.0-1.2","c1_train",",",".","","",""
"2984.9150000081863","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","58376","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","61381","0.0-6.0-0.0","fixation","","","","",""
"1655.319999990752","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","12","63039","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","64042","0.0-6.0-0.1","fixation","","","","",""
"1456.945000012638","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","14","65504","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","66506","0.0-6.0-0.2","fixation","","","","",""
"1442.4599999911152","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","16","67952","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","68955","0.0-6.0-0.3","fixation","","","","",""
"1843.684999999823","Stimuli/Hangul_F4.bmp","188","image-keyboard-response","18","70800","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","71803","0.0-6.0-0.4","fixation","","","","",""
"1636.3800000108313","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","20","73440","0.0-6.0-1.4","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","74443","0.0-6.0-0.5","fixation","","","","",""
"1132.7049999963492","Stimuli/Hangul_F17.bmp","190","image-keyboard-response","22","75582","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","76588","0.0-6.0-0.6","fixation","","","","",""
"1402.3600000073202","Stimuli/Hangul_F16.bmp","190","image-keyboard-response","24","77992","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","78994","0.0-6.0-0.7","fixation","","","","",""
"1582.6149999920744","Stimuli/Hangul_M5.bmp","188","image-keyboard-response","26","80579","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","81584","0.0-6.0-0.8","fixation","","","","",""
"2078.8899999752175","Stimuli/Hangul_F24.bmp","188","image-keyboard-response","28","83664","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","84667","0.0-6.0-0.9","fixation","","","","",""
"1559.3400000070687","Stimuli/Hangul_M17.bmp","190","image-keyboard-response","30","86230","0.0-6.0-1.9","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","87235","0.0-6.0-0.10","fixation","","","","",""
"1482.449999981327","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","32","88721","0.0-6.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","89726","0.0-6.0-0.11","fixation","","","","",""
"1416.5400000056252","Stimuli/Hangul_F23.bmp","190","image-keyboard-response","34","91146","0.0-6.0-1.11","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","92150","0.0-6.0-0.12","fixation","","","","",""
"1616.020000015851","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","36","93768","0.0-6.0-1.12","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","94771","0.0-6.0-0.13","fixation","","","","",""
"1853.080000000773","Stimuli/Hangul_M0.bmp","188","image-keyboard-response","38","96628","0.0-6.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","97633","0.0-6.0-0.14","fixation","","","","",""
"2085.3899999929126","Stimuli/Hangul_M18.bmp","190","image-keyboard-response","40","99721","0.0-6.0-1.14","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","100724","0.0-6.0-0.15","fixation","","","","",""
"1489.560000016354","Stimuli/Hangul_F2.bmp","190","image-keyboard-response","42","102215","0.0-6.0-1.15","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","103218","0.0-6.0-0.16","fixation","","","","",""
"1544.4949999800883","Stimuli/Hangul_F14.bmp","188","image-keyboard-response","44","104767","0.0-6.0-1.16","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","105769","0.0-6.0-0.17","fixation","","","","",""
"1497.655000013765","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","46","107270","0.0-6.0-1.17","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","108277","0.0-6.0-0.18","fixation","","","","",""
"1781.4999999827705","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","48","110065","0.0-6.0-1.18","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","111069","0.0-6.0-0.19","fixation","","","","",""
"2122.0850000099745","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","50","113192","0.0-6.0-1.19","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","114199","0.0-6.0-0.20","fixation","","","","",""
"1254.3449999939185","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","52","115455","0.0-6.0-1.20","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","116458","0.0-6.0-0.21","fixation","","","","",""
"1317.6849999872502","Stimuli/Hangul_F6.bmp","190","image-keyboard-response","54","117777","0.0-6.0-1.21","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","118779","0.0-6.0-0.22","fixation","","","","",""
"1762.6199999940582","Stimuli/Hangul_M1.bmp","188","image-keyboard-response","56","120543","0.0-6.0-1.22","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","121546","0.0-6.0-0.23","fixation","","","","",""
"1404.0549999917857","Stimuli/Hangul_F19.bmp","190","image-keyboard-response","58","122953","0.0-6.0-1.23","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","123957","0.0-6.0-0.24","fixation","","","","",""
"1456.7450000031386","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","60","125415","0.0-6.0-1.24","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","126417","0.0-6.0-0.25","fixation","","","","",""
"1667.3249999876134","Stimuli/Hangul_M7.bmp","190","image-keyboard-response","62","128086","0.0-6.0-1.25","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","63","129091","0.0-6.0-0.26","fixation","","","","",""
"1456.6399999894202","Stimuli/Hangul_F8.bmp","188","image-keyboard-response","64","130551","0.0-6.0-1.26","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","65","131553","0.0-6.0-0.27","fixation","","","","",""
"1691.7149999935646","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","66","133248","0.0-6.0-1.27","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","67","134250","0.0-6.0-0.28","fixation","","","","",""
"1411.759999988135","Stimuli/Hangul_F10.bmp","188","image-keyboard-response","68","135666","0.0-6.0-1.28","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","69","136678","0.0-6.0-0.29","fixation","","","","",""
"1447.7049999986775","Stimuli/Hangul_M6.bmp","190","image-keyboard-response","70","138129","0.0-6.0-1.29","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","139132","0.0-6.0-0.30","fixation","","","","",""
"1312.4800000223331","Stimuli/Hangul_M4.bmp","190","image-keyboard-response","72","140447","0.0-6.0-1.30","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","73","141449","0.0-6.0-0.31","fixation","","","","",""
"1245.8649999753106","Stimuli/Hangul_F7.bmp","190","image-keyboard-response","74","142696","0.0-6.0-1.31","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","75","143699","0.0-6.0-0.32","fixation","","","","",""
"1396.3199999998324","Stimuli/Hangul_M23.bmp","188","image-keyboard-response","76","145096","0.0-6.0-1.32","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","77","146098","0.0-6.0-0.33","fixation","","","","",""
"1218.525000003865","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","78","147319","0.0-6.0-1.33","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","79","148322","0.0-6.0-0.34","fixation","","","","",""
"1487.890000018524","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","80","149813","0.0-6.0-1.34","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","150815","0.0-6.0-0.35","fixation","","","","",""
"1574.2500000051223","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","82","152391","0.0-6.0-1.35","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","83","153393","0.0-6.0-0.36","fixation","","","","",""
"1219.9799999943934","Stimuli/Hangul_F11.bmp","190","image-keyboard-response","84","154615","0.0-6.0-1.36","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","85","155617","0.0-6.0-0.37","fixation","","","","",""
"1179.0000000037253","Stimuli/Hangul_M15.bmp","190","image-keyboard-response","86","156797","0.0-6.0-1.37","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","87","157803","0.0-6.0-0.38","fixation","","","","",""
"1244.799999985844","Stimuli/Hangul_M16.bmp","190","image-keyboard-response","88","159050","0.0-6.0-1.38","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","89","160055","0.0-6.0-0.39","fixation","","","","",""
"1801.9249999779277","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","90","161862","0.0-6.0-1.39","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","162866","0.0-6.0-0.40","fixation","","","","",""
"1130.1199999870732","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","92","163999","0.0-6.0-1.40","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","93","165001","0.0-6.0-0.41","fixation","","","","",""
"1819.999999977881","Stimuli/Hangul_F5.bmp","190","image-keyboard-response","94","166826","0.0-6.0-1.41","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","95","167830","0.0-6.0-0.42","fixation","","","","",""
"1670.4550000140443","Stimuli/Hangul_F9.bmp","190","image-keyboard-response","96","169502","0.0-6.0-1.42","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","97","170505","0.0-6.0-0.43","fixation","","","","",""
"1750.014999997802","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","98","172256","0.0-6.0-1.43","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","99","173259","0.0-6.0-0.44","fixation","","","","",""
"1456.5349999757018","Stimuli/Hangul_M24.bmp","190","image-keyboard-response","100","174719","0.0-6.0-1.44","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","101","175721","0.0-6.0-0.45","fixation","","","","",""
"1357.9099999915343","Stimuli/Hangul_F18.bmp","190","image-keyboard-response","102","177081","0.0-6.0-1.45","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","103","178086","0.0-6.0-0.46","fixation","","","","",""
"1236.7850000155158","Stimuli/Hangul_M21.bmp","190","image-keyboard-response","104","179327","0.0-6.0-1.46","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","105","180329","0.0-6.0-0.47","fixation","","","","",""
"1531.6799999854993","Stimuli/Hangul_M10.bmp","190","image-keyboard-response","106","181863","0.0-6.0-1.47","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","107","182866","0.0-6.0-0.48","fixation","","","","",""
"1435.1350000069942","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","108","184305","0.0-6.0-1.48","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","109","185310","0.0-6.0-0.49","fixation","","","","",""
"1436.6449999797624","Stimuli/Hangul_M3.bmp","190","image-keyboard-response","110","186750","0.0-6.0-1.49","test",",","",".","",""
"3903.6099999793805","<p style=""color:white;"">Good job, block 1 complete! Please take a moment to rest.</p> <p style=""color:white;"">When you are ready to continue with block 2 of 4, press the space bar.</p> ","32","html-keyboard-response","111","190657","0.0-7.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","112","193664","0.0-8.0-0.0","fixation","","","","",""
"1475.0950000016019","Stimuli/Hangul_M45.bmp","190","image-keyboard-response","113","195147","0.0-8.0-1.0","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","114","196150","0.0-8.0-0.1","fixation","","","","",""
"1258.9100000041071","Stimuli/Hangul_F29.bmp","190","image-keyboard-response","115","197416","0.0-8.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","116","198420","0.0-8.0-0.2","fixation","","","","",""
"1898.5150000080466","Stimuli/Hangul_M30.bmp","190","image-keyboard-response","117","200320","0.0-8.0-1.2","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","118","201323","0.0-8.0-0.3","fixation","","","","",""
"1610.015000012936","Stimuli/Hangul_M29.bmp","188","image-keyboard-response","119","202935","0.0-8.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","120","203936","0.0-8.0-0.4","fixation","","","","",""
"2085.7099999848288","Stimuli/Hangul_F36.bmp","190","image-keyboard-response","121","206023","0.0-8.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","122","207026","0.0-8.0-0.5","fixation","","","","",""
"1620.4349999898113","Stimuli/Hangul_F46.bmp","188","image-keyboard-response","123","208647","0.0-8.0-1.5","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","124","209651","0.0-8.0-0.6","fixation","","","","",""
"1539.9449999968056","Stimuli/Hangul_F42.bmp","188","image-keyboard-response","125","211193","0.0-8.0-1.6","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","126","212198","0.0-8.0-0.7","fixation","","","","",""
"1836.2449999840464","Stimuli/Hangul_F32.bmp","188","image-keyboard-response","127","214038","0.0-8.0-1.7","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","128","215040","0.0-8.0-0.8","fixation","","","","",""
"1262.6400000008289","Stimuli/Hangul_M46.bmp","190","image-keyboard-response","129","216303","0.0-8.0-1.8","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","130","217304","0.0-8.0-0.9","fixation","","","","",""
"1380.829999980051","Stimuli/Hangul_F41.bmp","188","image-keyboard-response","131","218687","0.0-8.0-1.9","test",".","",",","",""
