"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1741.78500007838","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","75","html-keyboard-response","0","1753","0.0-0.0","","","","","",""
"15526.06499986723","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","17287","0.0-1.0","","","","","",""
"8491.695000091568","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","25781","0.0-2.0","","","","","",""
"2562.8299999516457","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","28347","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","31363","0.0-4.0-0.0","fixation","","","","",""
"1826.0699999518692","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","33198","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","34202","0.0-4.0-0.1","fixation","","","","",""
"1386.4049999974668","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","35591","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","36598","0.0-4.0-0.2","fixation","","","","",""
"1253.2600001432002","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","9","37854","0.0-4.0-1.2","c1_train",".",",","","",""
"2342.919999966398","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","40200","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","43211","0.0-6.0-0.0","fixation","","","","",""
"1456.6899999044836","Stimuli/Hangul_M0.bmp","190","image-keyboard-response","12","44672","0.0-6.0-1.0","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","45676","0.0-6.0-0.1","fixation","","","","",""
"1688.6700000613928","Stimuli/Hangul_F6.bmp","190","image-keyboard-response","14","47367","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","48374","0.0-6.0-0.2","fixation","","","","",""
"1346.2600000202656","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","16","49723","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","50727","0.0-6.0-0.3","fixation","","","","",""
"1475.3250000067055","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","18","52205","0.0-6.0-1.3","test",".","",".","",""
