"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1907.3749999515712","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1938","0.0-0.0","","","","","",""
"20306.100000161678","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","22250","0.0-1.0","","","","","",""
"16087.280000094324","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","38340","0.0-2.0","","","","","",""
"4074.33500001207","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","42417","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","45423","0.0-4.0-0.0","fixation","","","","",""
"3946.2150000035763","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","49375","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","50386","0.0-4.0-0.1","fixation","","","","",""
"2211.2900000065565","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","52600","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","53605","0.0-4.0-0.2","fixation","","","","",""
"1740.4000000096858","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","9","55348","0.0-4.0-1.2","c1_train",".",".","","",""
"2425.15500029549","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","57777","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","60788","0.0-6.0-0.0","fixation","","","","",""
"2012.1349999681115","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","12","62802","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","63808","0.0-6.0-0.1","fixation","","","","",""
"1601.9999999552965","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","14","65412","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","66415","0.0-6.0-0.2","fixation","","","","",""
"1629.165000282228","Stimuli/Hangul_M18.bmp","188","image-keyboard-response","16","68048","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","69054","0.0-6.0-0.3","fixation","","","","",""
"1823.9600001834333","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","18","70880","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","71883","0.0-6.0-0.4","fixation","","","","",""
"1574.4150001555681","Stimuli/Hangul_M10.bmp","188","image-keyboard-response","20","73460","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","74465","0.0-6.0-0.5","fixation","","","","",""
"1652.6100002229214","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","22","76121","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","77124","0.0-6.0-0.6","fixation","","","","",""
"1509.2799998819828","Stimuli/Hangul_M22.bmp","190","image-keyboard-response","24","78694","0.0-6.0-1.6","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","79697","0.0-6.0-0.7","fixation","","","","",""
"1606.524999719113","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","26","81306","0.0-6.0-1.7","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","82311","0.0-6.0-0.8","fixation","","","","",""
"1660.37999978289","Stimuli/Hangul_F3.bmp","190","image-keyboard-response","28","83975","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","84977","0.0-6.0-0.9","fixation","","","","",""
"1714.2300000414252","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","30","86694","0.0-6.0-1.9","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","87711","0.0-6.0-0.10","fixation","","","","",""
"1823.99500021711","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","32","89536","0.0-6.0-1.10","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","90541","0.0-6.0-0.11","fixation","","","","",""
"1409.880000166595","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","34","91954","0.0-6.0-1.11","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","92958","0.0-6.0-0.12","fixation","","","","",""
"1407.7750002034009","Stimuli/Hangul_M9.bmp","190","image-keyboard-response","36","94368","0.0-6.0-1.12","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","95373","0.0-6.0-0.13","fixation","","","","",""
"1614.070000126958","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","38","96990","0.0-6.0-1.13","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","97993","0.0-6.0-0.14","fixation","","","","",""
"1526.5200003050268","Stimuli/Hangul_M24.bmp","188","image-keyboard-response","40","99520","0.0-6.0-1.14","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","100524","0.0-6.0-0.15","fixation","","","","",""
"1612.4299997463822","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","42","102140","0.0-6.0-1.15","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","103145","0.0-6.0-0.16","fixation","","","","",""
"1573.460000101477","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","44","104721","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","105723","0.0-6.0-0.17","fixation","","","","",""
"1793.1099999696016","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","46","107518","0.0-6.0-1.17","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","108522","0.0-6.0-0.18","fixation","","","","",""
"1595.9350001066923","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","48","110123","0.0-6.0-1.18","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","111142","0.0-6.0-0.19","fixation","","","","",""
"2029.225000180304","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","50","113173","0.0-6.0-1.19","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","114178","0.0-6.0-0.20","fixation","","","","",""
"1646.5499997138977","Stimuli/Hangul_F13.bmp","190","image-keyboard-response","52","115828","0.0-6.0-1.20","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","116857","0.0-6.0-0.21","fixation","","","","",""
"1472.210000269115","Stimuli/Hangul_F18.bmp","190","image-keyboard-response","54","118331","0.0-6.0-1.21","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","119337","0.0-6.0-0.22","fixation","","","","",""
"1743.5900000855327","Stimuli/Hangul_F9.bmp","190","image-keyboard-response","56","121083","0.0-6.0-1.22","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","122087","0.0-6.0-0.23","fixation","","","","",""
"1508.02499987185","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","58","123598","0.0-6.0-1.23","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","124601","0.0-6.0-0.24","fixation","","","","",""
"1673.390000127256","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","60","126278","0.0-6.0-1.24","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","127284","0.0-6.0-0.25","fixation","","","","",""
"1505.6099998764694","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","62","128791","0.0-6.0-1.25","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","63","129801","0.0-6.0-0.26","fixation","","","","",""
"1731.0550003312528","Stimuli/Hangul_M2.bmp","190","image-keyboard-response","64","131534","0.0-6.0-1.26","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","65","132538","0.0-6.0-0.27","fixation","","","","",""
"2621.1500000208616","Stimuli/Hangul_F2.bmp","190","image-keyboard-response","66","135163","0.0-6.0-1.27","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","67","136169","0.0-6.0-0.28","fixation","","","","",""
"1604.594999924302","Stimuli/Hangul_M3.bmp","190","image-keyboard-response","68","137776","0.0-6.0-1.28","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","69","138787","0.0-6.0-0.29","fixation","","","","",""
"1631.8500000052154","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","70","140422","0.0-6.0-1.29","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","141423","0.0-6.0-0.30","fixation","","","","",""
"1597.0750004053116","Stimuli/Hangul_M5.bmp","188","image-keyboard-response","72","143022","0.0-6.0-1.30","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","73","144028","0.0-6.0-0.31","fixation","","","","",""
"1751.510000322014","Stimuli/Hangul_F15.bmp","188","image-keyboard-response","74","145781","0.0-6.0-1.31","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","75","146784","0.0-6.0-0.32","fixation","","","","",""
"1480.3499998524785","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","76","148267","0.0-6.0-1.32","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","77","149273","0.0-6.0-0.33","fixation","","","","",""
"1688.395000062883","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","78","150963","0.0-6.0-1.33","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","79","151970","0.0-6.0-0.34","fixation","","","","",""
"1674.1249999031425","Stimuli/Hangul_F12.bmp","190","image-keyboard-response","80","153646","0.0-6.0-1.34","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","154649","0.0-6.0-0.35","fixation","","","","",""
"1674.7599998489022","Stimuli/Hangul_M1.bmp","190","image-keyboard-response","82","156327","0.0-6.0-1.35","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","83","157330","0.0-6.0-0.36","fixation","","","","",""
"2203.8150001317263","Stimuli/Hangul_M15.bmp","188","image-keyboard-response","84","159536","0.0-6.0-1.36","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","85","160548","0.0-6.0-0.37","fixation","","","","",""
"1535.500000230968","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","86","162087","0.0-6.0-1.37","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","87","163089","0.0-6.0-0.38","fixation","","","","",""
"1606.5000002272427","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","88","164698","0.0-6.0-1.38","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","89","165700","0.0-6.0-0.39","fixation","","","","",""
"1832.2349996306002","Stimuli/Hangul_F6.bmp","190","image-keyboard-response","90","167534","0.0-6.0-1.39","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","168539","0.0-6.0-0.40","fixation","","","","",""
"1500.4900000058115","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","92","170043","0.0-6.0-1.40","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","93","171047","0.0-6.0-0.41","fixation","","","","",""
"1567.8500002250075","Stimuli/Hangul_M6.bmp","188","image-keyboard-response","94","172617","0.0-6.0-1.41","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","95","173627","0.0-6.0-0.42","fixation","","","","",""
"1608.9049996808171","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","96","175237","0.0-6.0-1.42","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","97","176241","0.0-6.0-0.43","fixation","","","","",""
"1552.1499998867512","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","98","177798","0.0-6.0-1.43","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","99","178803","0.0-6.0-0.44","fixation","","","","",""
"1746.7849999666214","Stimuli/Hangul_F7.bmp","188","image-keyboard-response","100","180552","0.0-6.0-1.44","test",".","",",","",""
