"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2781.095000000292","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2792","0.0-0.0","","","","","",""
"30836.06499999948","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","33628","0.0-1.0","","","","","",""
"9764.615000000049","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","43392","0.0-2.0","","","","","",""
"5999.94499999957","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","49393","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","52395","0.0-4.0-0.0","fixation","","","","",""
"2786.290000000008","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","5","55183","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","56186","0.0-4.0-0.1","fixation","","","","",""
"2601.2849999988393","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","7","58788","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","59789","0.0-4.0-0.2","fixation","","","","",""
"2877.3600000003935","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","9","62667","0.0-4.0-1.2","c1_train",".",".","","",""
"241461.8799999989","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","304118","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","307123","0.0-6.0-0.0","fixation","","","","",""
"2578.8799999990733","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","12","309703","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","310705","0.0-6.0-0.1","fixation","","","","",""
"2146.900000001595","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","14","312853","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","313855","0.0-6.0-0.2","fixation","","","","",""
"2046.3099999997066","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","16","315902","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","316904","0.0-6.0-0.3","fixation","","","","",""
"1784.4199999999837","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","18","318689","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","319693","0.0-6.0-0.4","fixation","","","","",""
