"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2464.074999996228","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2473","0.0-0.0","","","","","",""
"29333.60499999253","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","31808","0.0-1.0","","","","","",""
"4503.484999993816","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","36313","0.0-2.0","","","","","",""
"919.289999990724","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","37233","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","40236","0.0-4.0-0.0","fixation","","","","",""
"1687.0099999941885","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","5","41925","0.0-4.0-1.0","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","42927","0.0-4.0-0.1","fixation","","","","",""
"1477.0950000092853","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","7","44405","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","45407","0.0-4.0-0.2","fixation","","","","",""
"629.8400000086986","Stimuli/Hangul_E0.bmp","190","image-keyboard-response","9","46038","0.0-4.0-1.2","c1_train",",",".","","",""
"1543.100000009872","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","47582","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","50584","0.0-6.0-0.0","fixation","","","","",""
"1504.864999995334","Stimuli/Hangul_F5.bmp","190","image-keyboard-response","12","52090","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","53092","0.0-6.0-0.1","fixation","","","","",""
"1678.474999993341","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","14","54771","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","55773","0.0-6.0-0.2","fixation","","","","",""
"1420.7250000035856","Stimuli/Hangul_F2.bmp","188","image-keyboard-response","16","57195","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","58196","0.0-6.0-0.3","fixation","","","","",""
"1298.0699999898206","Stimuli/Hangul_M4.bmp","190","image-keyboard-response","18","59495","0.0-6.0-1.3","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","60497","0.0-6.0-0.4","fixation","","","","",""
"1269.1150000027847","Stimuli/Hangul_F17.bmp","190","image-keyboard-response","20","61767","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","62768","0.0-6.0-0.5","fixation","","","","",""
"1439.4500000053085","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","22","64208","0.0-6.0-1.5","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","65211","0.0-6.0-0.6","fixation","","","","",""
"1395.1149999920744","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","24","66607","0.0-6.0-1.6","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","67610","0.0-6.0-0.7","fixation","","","","",""
"1393.9650000247639","Stimuli/Hangul_M24.bmp","188","image-keyboard-response","26","69005","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","70006","0.0-6.0-0.8","fixation","","","","",""
"914.8850000055972","Stimuli/Hangul_F4.bmp","188","image-keyboard-response","28","70922","0.0-6.0-1.8","test",".","",",","",""
