"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"3415.969999972731","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","70","html-keyboard-response","0","3423","0.0-0.0","","","","","",""
"28398.864999995567","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","31823","0.0-1.0","","","","","",""
"15462.509999983013","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","47286","0.0-2.0","","","","","",""
"7063.135000003967","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","54350","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","57352","0.0-4.0-0.0","fixation","","","","",""
"3909.4099999638274","Stimuli/Hangul_E0.bmp","190","image-keyboard-response","5","61262","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","62264","0.0-4.0-0.1","fixation","","","","",""
"2573.24499997776","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","64838","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","65839","0.0-4.0-0.2","fixation","","","","",""
"3181.715000013355","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","69022","0.0-4.0-1.2","c1_train",",",".","","",""
"3007.6049999915995","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","72030","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","75032","0.0-6.0-0.0","fixation","","","","",""
"2460.7400000095367","Stimuli/Hangul_F7.bmp","190","image-keyboard-response","12","77494","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","78496","0.0-6.0-0.1","fixation","","","","",""
"3477.680000010878","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","14","81974","0.0-6.0-1.1","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","82975","0.0-6.0-0.2","fixation","","","","",""
"2222.3700000322424","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","16","85198","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","86199","0.0-6.0-0.3","fixation","","","","",""
"2893.645000003744","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","18","89094","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","90095","0.0-6.0-0.4","fixation","","","","",""
"3437.699999951292","Stimuli/Hangul_F21.bmp","188","image-keyboard-response","20","93534","0.0-6.0-1.4","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","94536","0.0-6.0-0.5","fixation","","","","",""
"2166.075000015553","Stimuli/Hangul_M2.bmp","190","image-keyboard-response","22","96703","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","97705","0.0-6.0-0.6","fixation","","","","",""
