"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2732.884999997623","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2743","0.0-0.0","","","","","",""
"68065.60500000342","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","70812","0.0-1.0","","","","","",""
"11520.495000004303","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","82334","0.0-2.0","","","","","",""
"6406.605000003765","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","88742","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","91747","0.0-4.0-0.0","fixation","","","","",""
"1752.265000002808","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","93501","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","94503","0.0-4.0-0.1","fixation","","","","",""
"1476.1300000027404","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","95981","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","96982","0.0-4.0-0.2","fixation","","","","",""
"1220.260000001872","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","98203","0.0-4.0-1.2","c1_train",",",",","","",""
"2415.0099999969825","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","100620","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","103625","0.0-6.0-0.0","fixation","","","","",""
"1205.5550000004587","Stimuli/Hangul_M3.bmp","188","image-keyboard-response","12","104832","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","105834","0.0-6.0-0.1","fixation","","","","",""
"1106.0749999960535","Stimuli/Hangul_F12.bmp","190","image-keyboard-response","14","106941","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","107943","0.0-6.0-0.2","fixation","","","","",""
"1095.484999998007","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","16","109039","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","110041","0.0-6.0-0.3","fixation","","","","",""
"1059.60999999661","Stimuli/Hangul_F11.bmp","188","image-keyboard-response","18","111102","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","112104","0.0-6.0-0.4","fixation","","","","",""
"1104.8600000067381","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","20","113210","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","114211","0.0-6.0-0.5","fixation","","","","",""
"1050.9099999981117","Stimuli/Hangul_M5.bmp","190","image-keyboard-response","22","115263","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","116264","0.0-6.0-0.6","fixation","","","","",""
"1019.4699999992736","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","24","117305","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","118307","0.0-6.0-0.7","fixation","","","","",""
"1048.6949999976787","Stimuli/Hangul_M12.bmp","190","image-keyboard-response","26","119357","0.0-6.0-1.7","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","120359","0.0-6.0-0.8","fixation","","","","",""
"1093.2549999997718","Stimuli/Hangul_F2.bmp","188","image-keyboard-response","28","121453","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","122454","0.0-6.0-0.9","fixation","","","","",""
"1116.9599999993807","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","30","123572","0.0-6.0-1.9","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","124573","0.0-6.0-0.10","fixation","","","","",""
"1093.0500000031316","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","32","125668","0.0-6.0-1.10","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","126669","0.0-6.0-0.11","fixation","","","","",""
"973.9449999979115","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","34","127644","0.0-6.0-1.11","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","128649","0.0-6.0-0.12","fixation","","","","",""
"1010.1399999985006","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","36","129660","0.0-6.0-1.12","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","130661","0.0-6.0-0.13","fixation","","","","",""
"1045.460000001185","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","38","131708","0.0-6.0-1.13","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","132710","0.0-6.0-0.14","fixation","","","","",""
"1108.5999999995693","Stimuli/Hangul_M1.bmp","190","image-keyboard-response","40","133820","0.0-6.0-1.14","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","134822","0.0-6.0-0.15","fixation","","","","",""
"1015.8150000061141","Stimuli/Hangul_M22.bmp","190","image-keyboard-response","42","135838","0.0-6.0-1.15","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","136840","0.0-6.0-0.16","fixation","","","","",""
"1026.5199999994365","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","44","137868","0.0-6.0-1.16","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","138870","0.0-6.0-0.17","fixation","","","","",""
"1069.0899999972316","Stimuli/Hangul_M18.bmp","188","image-keyboard-response","46","139940","0.0-6.0-1.17","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","140941","0.0-6.0-0.18","fixation","","","","",""
"1070.0550000037765","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","48","142012","0.0-6.0-1.18","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","143014","0.0-6.0-0.19","fixation","","","","",""
"1037.0600000023842","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","50","144052","0.0-6.0-1.19","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","145053","0.0-6.0-0.20","fixation","","","","",""
