"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2100.395000015851","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2120","0.0-0.0","","","","","",""
"96928.67500003194","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","99054","0.0-1.0","","","","","",""
"7940.694999997504","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","106998","0.0-2.0","","","","","",""
"3569.6699999971315","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","110570","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","113578","0.0-4.0-0.0","fixation","","","","",""
"3220.614999998361","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","116802","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","117806","0.0-4.0-0.1","fixation","","","","",""
"2386.5550000336953","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","120196","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","121201","0.0-4.0-0.2","fixation","","","","",""
"2308.145000017248","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","123515","0.0-4.0-1.2","c1_train",",",",","","",""
"2131.160000048112","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","125649","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","128659","0.0-6.0-0.0","fixation","","","","",""
"2092.754999990575","Stimuli/Hangul_F20.bmp","188","image-keyboard-response","12","130762","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","131766","0.0-6.0-0.1","fixation","","","","",""
"2219.275000039488","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","14","133986","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","134991","0.0-6.0-0.2","fixation","","","","",""
"2054.2099999729544","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","16","137055","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","138060","0.0-6.0-0.3","fixation","","","","",""
"2083.7000000174157","Stimuli/Hangul_F19.bmp","190","image-keyboard-response","18","140147","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","141152","0.0-6.0-0.4","fixation","","","","",""
"2126.0699999984354","Stimuli/Hangul_M0.bmp","190","image-keyboard-response","20","143285","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","144289","0.0-6.0-0.5","fixation","","","","",""
"2335.6999999959953","Stimuli/Hangul_M1.bmp","190","image-keyboard-response","22","146628","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","147632","0.0-6.0-0.6","fixation","","","","",""
"1775.3699999884702","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","24","149411","0.0-6.0-1.6","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","150416","0.0-6.0-0.7","fixation","","","","",""
"1955.1249999785796","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","26","152377","0.0-6.0-1.7","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","153379","0.0-6.0-0.8","fixation","","","","",""
"1539.8900000145659","Stimuli/Hangul_M9.bmp","190","image-keyboard-response","28","154922","0.0-6.0-1.8","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","155925","0.0-6.0-0.9","fixation","","","","",""
"1840.13500000583","Stimuli/Hangul_F16.bmp","190","image-keyboard-response","30","157767","0.0-6.0-1.9","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","158771","0.0-6.0-0.10","fixation","","","","",""
"1775.8449999964796","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","32","160551","0.0-6.0-1.10","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","161555","0.0-6.0-0.11","fixation","","","","",""
"1831.3249999773689","Stimuli/Hangul_F6.bmp","188","image-keyboard-response","34","163388","0.0-6.0-1.11","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","164391","0.0-6.0-0.12","fixation","","","","",""
"1842.9050000268035","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","36","166237","0.0-6.0-1.12","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","167242","0.0-6.0-0.13","fixation","","","","",""
"1729.749999998603","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","38","168982","0.0-6.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","169986","0.0-6.0-0.14","fixation","","","","",""
"2063.460000033956","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","40","172051","0.0-6.0-1.14","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","173056","0.0-6.0-0.15","fixation","","","","",""
"2015.2100000414066","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","42","175074","0.0-6.0-1.15","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","176078","0.0-6.0-0.16","fixation","","","","",""
"1970.2249999972992","Stimuli/Hangul_F8.bmp","188","image-keyboard-response","44","178050","0.0-6.0-1.16","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","179054","0.0-6.0-0.17","fixation","","","","",""
"1823.984999966342","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","46","180885","0.0-6.0-1.17","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","181887","0.0-6.0-0.18","fixation","","","","",""
"2168.8800000119954","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","48","184058","0.0-6.0-1.18","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","185061","0.0-6.0-0.19","fixation","","","","",""
