"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"3752.860000007786","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","66","html-keyboard-response","0","3763","0.0-0.0","","","","","",""
"23357.43500001263","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","27123","0.0-1.0","","","","","",""
"1101806.3249999979","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","1128930","0.0-2.0","","","","","",""
"6966.059999991674","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","1135898","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","1138905","0.0-4.0-0.0","fixation","","","","",""
"3927.1549999976996","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","1142834","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","1143839","0.0-4.0-0.1","fixation","","","","",""
"3137.2149999951944","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","1146978","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","1147988","0.0-4.0-0.2","fixation","","","","",""
"4188.460000004619","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","9","1152177","0.0-4.0-1.2","c1_train",".",".","","",""
"198413.4150000026","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","1350592","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","1353610","0.0-6.0-0.0","fixation","","","","",""
"1460.6349999955855","Stimuli/Hangul_F23.bmp","190","image-keyboard-response","12","1355072","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","1356074","0.0-6.0-0.1","fixation","","","","",""
"1484.954999992624","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","14","1357557","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","1358568","0.0-6.0-0.2","fixation","","","","",""
"2252.6249999939464","Stimuli/Hangul_F8.bmp","188","image-keyboard-response","16","1360822","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","1361832","0.0-6.0-0.3","fixation","","","","",""
"2035.6749999918975","Stimuli/Hangul_F9.bmp","190","image-keyboard-response","18","1363871","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","1364879","0.0-6.0-0.4","fixation","","","","",""
"2349.3549999985844","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","20","1367229","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","1368238","0.0-6.0-0.5","fixation","","","","",""
"1997.8299999928568","Stimuli/Hangul_M18.bmp","190","image-keyboard-response","22","1370237","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","1371247","0.0-6.0-0.6","fixation","","","","",""
"2453.9850000003353","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","24","1373702","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","1374709","0.0-6.0-0.7","fixation","","","","",""
"3087.0800000121817","Stimuli/Hangul_M24.bmp","188","image-keyboard-response","26","1377797","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","1378808","0.0-6.0-0.8","fixation","","","","",""
"3228.434999997262","Stimuli/Hangul_F6.bmp","188","image-keyboard-response","28","1382037","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","1383049","0.0-6.0-0.9","fixation","","","","",""
"2171.2699999916367","Stimuli/Hangul_M15.bmp","190","image-keyboard-response","30","1385221","0.0-6.0-1.9","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","1386231","0.0-6.0-0.10","fixation","","","","",""
"2084.6600000078324","Stimuli/Hangul_F18.bmp","190","image-keyboard-response","32","1388317","0.0-6.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","1389327","0.0-6.0-0.11","fixation","","","","",""
"1821.2550000024494","Stimuli/Hangul_M5.bmp","188","image-keyboard-response","34","1391149","0.0-6.0-1.11","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","1392155","0.0-6.0-0.12","fixation","","","","",""
"2281.1249999941792","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","36","1394437","0.0-6.0-1.12","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","1395445","0.0-6.0-0.13","fixation","","","","",""
"2047.5750000043772","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","38","1397493","0.0-6.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","1398495","0.0-6.0-0.14","fixation","","","","",""
"2685.030000007944","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","40","1401181","0.0-6.0-1.14","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","1402192","0.0-6.0-0.15","fixation","","","","",""
"2724.1450000000186","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","42","1404917","0.0-6.0-1.15","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","1405922","0.0-6.0-0.16","fixation","","","","",""
"2538.0850000074133","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","44","1408461","0.0-6.0-1.16","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","1409465","0.0-6.0-0.17","fixation","","","","",""
"2283.194999996107","Stimuli/Hangul_F12.bmp","190","image-keyboard-response","46","1411749","0.0-6.0-1.17","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","1412757","0.0-6.0-0.18","fixation","","","","",""
"1502.7399999962654","Stimuli/Hangul_M4.bmp","190","image-keyboard-response","48","1414261","0.0-6.0-1.18","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","1415268","0.0-6.0-0.19","fixation","","","","",""
"2183.725000009872","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","50","1417454","0.0-6.0-1.19","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","1418463","0.0-6.0-0.20","fixation","","","","",""
"2021.764999997802","Stimuli/Hangul_M11.bmp","190","image-keyboard-response","52","1420486","0.0-6.0-1.20","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","1421494","0.0-6.0-0.21","fixation","","","","",""
"2126.7399999923073","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","54","1423622","0.0-6.0-1.21","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","1424626","0.0-6.0-0.22","fixation","","","","",""
"2050.2049999921583","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","56","1426678","0.0-6.0-1.22","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","1427682","0.0-6.0-0.23","fixation","","","","",""
"2987.2449999966193","Stimuli/Hangul_M7.bmp","190","image-keyboard-response","58","1430670","0.0-6.0-1.23","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","1431681","0.0-6.0-0.24","fixation","","","","",""
"3235.505000004312","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","60","1434918","0.0-6.0-1.24","test",".","",".","",""
