"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"7783.2349999807775","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","17","html-keyboard-response","0","7790","0.0-0.0","","","","","",""
"36669.62499986403","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","44461","0.0-1.0","","","","","",""
"25621.15000002086","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","70083","0.0-2.0","","","","","",""
"3967.39499992691","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","74051","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","77054","0.0-4.0-0.0","fixation","","","","",""
"3844.509999966249","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","5","80900","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","81903","0.0-4.0-0.1","fixation","","","","",""
"3995.3349998686463","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","85899","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","86901","0.0-4.0-0.2","fixation","","","","",""
"3045.050000073388","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","89947","0.0-4.0-1.2","c1_train",",",".","","",""
"3479.5450000092387","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","93428","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","96431","0.0-6.0-0.0","fixation","","","","",""
"2418.810000177473","Stimuli/Hangul_F16.bmp","190","image-keyboard-response","12","98851","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","99853","0.0-6.0-0.1","fixation","","","","",""
"2341.170000145212","Stimuli/Hangul_M10.bmp","188","image-keyboard-response","14","102195","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","103197","0.0-6.0-0.2","fixation","","","","",""
"2173.810000065714","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","16","105372","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","106373","0.0-6.0-0.3","fixation","","","","",""
"3068.63999995403","Stimuli/Hangul_M5.bmp","188","image-keyboard-response","18","109443","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","110444","0.0-6.0-0.4","fixation","","","","",""
"2221.824999898672","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","20","112667","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","113669","0.0-6.0-0.5","fixation","","","","",""
"2622.169999871403","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","22","116292","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","117293","0.0-6.0-0.6","fixation","","","","",""
"2820.3300000168383","Stimuli/Hangul_F19.bmp","190","image-keyboard-response","24","120119","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","121121","0.0-6.0-0.7","fixation","","","","",""
"3872.1300000324845","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","26","124995","0.0-6.0-1.7","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","125996","0.0-6.0-0.8","fixation","","","","",""
"2742.1600001398474","Stimuli/Hangul_F24.bmp","190","image-keyboard-response","28","128740","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","129741","0.0-6.0-0.9","fixation","","","","",""
"3100.785000016913","Stimuli/Hangul_M11.bmp","188","image-keyboard-response","30","132843","0.0-6.0-1.9","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","133844","0.0-6.0-0.10","fixation","","","","",""
"2181.289999978617","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","32","136027","0.0-6.0-1.10","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","137028","0.0-6.0-0.11","fixation","","","","",""
"2910.440000006929","Stimuli/Hangul_F9.bmp","190","image-keyboard-response","34","139940","0.0-6.0-1.11","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","140941","0.0-6.0-0.12","fixation","","","","",""
"2116.6850000154227","Stimuli/Hangul_F7.bmp","190","image-keyboard-response","36","143059","0.0-6.0-1.12","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","144060","0.0-6.0-0.13","fixation","","","","",""
"2157.945000100881","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","38","146218","0.0-6.0-1.13","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","147220","0.0-6.0-0.14","fixation","","","","",""
"2237.4350000172853","Stimuli/Hangul_F2.bmp","188","image-keyboard-response","40","149459","0.0-6.0-1.14","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","150460","0.0-6.0-0.15","fixation","","","","",""
"1903.2400001306087","Stimuli/Hangul_M23.bmp","190","image-keyboard-response","42","152364","0.0-6.0-1.15","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","153365","0.0-6.0-0.16","fixation","","","","",""
"1716.1950001027435","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","44","155082","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","156084","0.0-6.0-0.17","fixation","","","","",""
"2397.9550001677126","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","46","158483","0.0-6.0-1.17","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","159483","0.0-6.0-0.18","fixation","","","","",""
"2486.2899999134243","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","48","161971","0.0-6.0-1.18","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","162973","0.0-6.0-0.19","fixation","","","","",""
"2621.4149999432266","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","50","165595","0.0-6.0-1.19","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","166596","0.0-6.0-0.20","fixation","","","","",""
"2420.295000076294","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","52","169018","0.0-6.0-1.20","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","170019","0.0-6.0-0.21","fixation","","","","",""
"3005.375000182539","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","54","173026","0.0-6.0-1.21","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","174027","0.0-6.0-0.22","fixation","","","","",""
"2606.9900000002235","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","56","176635","0.0-6.0-1.22","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","177636","0.0-6.0-0.23","fixation","","","","",""
"3868.544999975711","Stimuli/Hangul_F17.bmp","188","image-keyboard-response","58","181506","0.0-6.0-1.23","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","182508","0.0-6.0-0.24","fixation","","","","",""
"2317.0750001445413","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","60","184826","0.0-6.0-1.24","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","185828","0.0-6.0-0.25","fixation","","","","",""
"2342.2549997922033","Stimuli/Hangul_M24.bmp","188","image-keyboard-response","62","188171","0.0-6.0-1.25","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","63","189172","0.0-6.0-0.26","fixation","","","","",""
"2340.855000074953","Stimuli/Hangul_M7.bmp","190","image-keyboard-response","64","191514","0.0-6.0-1.26","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","65","192515","0.0-6.0-0.27","fixation","","","","",""
"2789.29500002414","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","66","195306","0.0-6.0-1.27","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","67","196307","0.0-6.0-0.28","fixation","","","","",""
"2118.77500009723","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","68","198427","0.0-6.0-1.28","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","69","199429","0.0-6.0-0.29","fixation","","","","",""
"1955.4350001271814","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","70","201386","0.0-6.0-1.29","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","71","202387","0.0-6.0-0.30","fixation","","","","",""
"1949.6750000398606","Stimuli/Hangul_F3.bmp","190","image-keyboard-response","72","204338","0.0-6.0-1.30","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","73","205339","0.0-6.0-0.31","fixation","","","","",""
"2149.3749998044223","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","74","207490","0.0-6.0-1.31","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","75","208492","0.0-6.0-0.32","fixation","","","","",""
"1685.994999948889","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","76","210179","0.0-6.0-1.32","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","77","211180","0.0-6.0-0.33","fixation","","","","",""
"1948.2149998657405","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","78","213130","0.0-6.0-1.33","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","79","214131","0.0-6.0-0.34","fixation","","","","",""
"2053.6299999803305","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","80","216186","0.0-6.0-1.34","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","81","217186","0.0-6.0-0.35","fixation","","","","",""
"1878.3350000157952","Stimuli/Hangul_M1.bmp","188","image-keyboard-response","82","219066","0.0-6.0-1.35","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","83","220068","0.0-6.0-0.36","fixation","","","","",""
"2469.7850001975894","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","84","222538","0.0-6.0-1.36","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","85","223540","0.0-6.0-0.37","fixation","","","","",""
"1892.34000002034","Stimuli/Hangul_F11.bmp","188","image-keyboard-response","86","225434","0.0-6.0-1.37","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","87","226436","0.0-6.0-0.38","fixation","","","","",""
"2165.2450000401586","Stimuli/Hangul_M0.bmp","188","image-keyboard-response","88","228602","0.0-6.0-1.38","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","89","229603","0.0-6.0-0.39","fixation","","","","",""
"2573.649999918416","Stimuli/Hangul_F4.bmp","190","image-keyboard-response","90","232178","0.0-6.0-1.39","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","91","233179","0.0-6.0-0.40","fixation","","","","",""
"2542.8499998524785","Stimuli/Hangul_M2.bmp","190","image-keyboard-response","92","235723","0.0-6.0-1.40","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","93","236725","0.0-6.0-0.41","fixation","","","","",""
