"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"47422.7200000023","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","47428","0.0-0.0","","","","","",""
"21418.48999999638","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","68848","0.0-1.0","","","","","",""
"6199.72499999858","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","75049","0.0-2.0","","","","","",""
"2473.3049999922514","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","77523","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","80526","0.0-4.0-0.0","fixation","","","","",""
"3810.910000000149","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","5","84339","0.0-4.0-1.0","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","85342","0.0-4.0-0.1","fixation","","","","",""
"1838.5599999892293","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","87181","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","88182","0.0-4.0-0.2","fixation","","","","",""
"1290.580000000773","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","9","89474","0.0-4.0-1.2","c1_train",",",",","","",""
"1378.244999999879","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","90853","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","93856","0.0-6.0-0.0","fixation","","","","",""
"1480.1949999964563","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","12","95338","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","96339","0.0-6.0-0.1","fixation","","","","",""
"1279.5100000075763","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","14","97619","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","98621","0.0-6.0-0.2","fixation","","","","",""
"1179.6699999977136","Stimuli/Hangul_M18.bmp","188","image-keyboard-response","16","99802","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","100803","0.0-6.0-0.3","fixation","","","","",""
"1143.7449999939417","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","18","101948","0.0-6.0-1.3","test",",","",",","",""
