"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"3238.2549999747425","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","3283","0.0-0.0","","","","","",""
"34451.91999990493","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","37737","0.0-1.0","","","","","",""
"15363.33499988541","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","53101","0.0-2.0","","","","","",""
"6363.760000094771","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","59467","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","62471","0.0-4.0-0.0","fixation","","","","",""
"3354.9399999901652","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","5","65830","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","66833","0.0-4.0-0.1","fixation","","","","",""
"2299.089999869466","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","69134","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","70136","0.0-4.0-0.2","fixation","","","","",""
"2306.404999922961","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","9","72446","0.0-4.0-1.2","c1_train",",",",","","",""
"3961.600000038743","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","76410","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","79414","0.0-6.0-0.0","fixation","","","","",""
"2541.865000035614","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","12","81959","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","82961","0.0-6.0-0.1","fixation","","","","",""
"1837.7449999097735","Stimuli/Hangul_M13.bmp","188","image-keyboard-response","14","84800","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","85803","0.0-6.0-0.2","fixation","","","","",""
"2045.325000071898","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","16","87850","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","88853","0.0-6.0-0.3","fixation","","","","",""
"2409.724999917671","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","18","91264","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","92265","0.0-6.0-0.4","fixation","","","","",""
"1979.3899999931455","Stimuli/Hangul_M5.bmp","190","image-keyboard-response","20","94248","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","95250","0.0-6.0-0.5","fixation","","","","",""
"2026.3999998569489","Stimuli/Hangul_M10.bmp","190","image-keyboard-response","22","97279","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","98281","0.0-6.0-0.6","fixation","","","","",""
"1760.7350000180304","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","24","100053","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","101062","0.0-6.0-0.7","fixation","","","","",""
"1475.0350001268089","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","26","102540","0.0-6.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","103541","0.0-6.0-0.8","fixation","","","","",""
"1670.9349998272955","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","28","105213","0.0-6.0-1.8","test",".","",".","",""
