"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1579.9600000027567","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1587","0.0-0.0","","","","","",""
"7802.575000037905","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","9391","0.0-1.0","","","","","",""
"2682.5100000132807","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","12074","0.0-2.0","","","","","",""
"1265.0900000007823","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","13340","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","16342","0.0-4.0-0.0","fixation","","","","",""
"1245.824999990873","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","5","17590","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","18592","0.0-4.0-0.1","fixation","","","","",""
"652.9350000200793","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","19245","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","20247","0.0-4.0-0.2","fixation","","","","",""
"753.1399999861605","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","21001","0.0-4.0-1.2","c1_train",",",",","","",""
"986.1750000272878","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","21987","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","24992","0.0-6.0-0.0","fixation","","","","",""
"646.0349999833852","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","12","25639","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","26641","0.0-6.0-0.1","fixation","","","","",""
"628.5999999963678","Stimuli/Hangul_M3.bmp","190","image-keyboard-response","14","27271","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","28273","0.0-6.0-0.2","fixation","","","","",""
"564.0349999885075","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","16","28837","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","29838","0.0-6.0-0.3","fixation","","","","",""
