"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2866.000000038184","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","76","html-keyboard-response","0","2876","0.0-0.0","","","","","",""
"35098.99999992922","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","37978","0.0-1.0","","","","","",""
"13679.999999934807","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","51659","0.0-2.0","","","","","",""
"4982.000000076368","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","56642","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","59645","0.0-4.0-0.0","fixation","","","","",""
"4603.000000002794","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","64251","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","65253","0.0-4.0-0.1","fixation","","","","",""
"4251.000000047497","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","69506","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","70506","0.0-4.0-0.2","fixation","","","","",""
"4068.99999990128","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","74578","0.0-4.0-1.2","c1_train",",",",","","",""
"7942.999999970198","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","82522","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","85522","0.0-6.0-0.0","fixation","","","","",""
"4607.000000076368","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","12","90130","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","91131","0.0-6.0-0.1","fixation","","","","",""
"4694.000000017695","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","14","95826","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","96827","0.0-6.0-0.2","fixation","","","","",""
"3796.999999904074","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","16","100626","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","101627","0.0-6.0-0.3","fixation","","","","",""
"4340.999999898486","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","18","105969","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","106971","0.0-6.0-0.4","fixation","","","","",""
"3869.0000000642613","Stimuli/Hangul_F3.bmp","190","image-keyboard-response","20","110842","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","111842","0.0-6.0-0.5","fixation","","","","",""
"4086.0000000102445","Stimuli/Hangul_M17.bmp","188","image-keyboard-response","22","115930","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","116932","0.0-6.0-0.6","fixation","","","","",""
"3322.9999999748543","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","24","120257","0.0-6.0-1.6","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","121266","0.0-6.0-0.7","fixation","","","","",""
"4028.999999980442","Stimuli/Hangul_M8.bmp","190","image-keyboard-response","26","125298","0.0-6.0-1.7","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","126300","0.0-6.0-0.8","fixation","","","","",""
"4154.999999911524","Stimuli/Hangul_F6.bmp","188","image-keyboard-response","28","130456","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","131458","0.0-6.0-0.9","fixation","","","","",""
"4292.999999946915","Stimuli/Hangul_M6.bmp","190","image-keyboard-response","30","135753","0.0-6.0-1.9","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","136754","0.0-6.0-0.10","fixation","","","","",""
"4739.999999990687","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","32","141496","0.0-6.0-1.10","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","142497","0.0-6.0-0.11","fixation","","","","",""
"3991.000000038184","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","34","146489","0.0-6.0-1.11","test",",","",",","",""
