"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"3528.374999994412","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","77","html-keyboard-response","0","3546","0.0-0.0","","","","","",""
"53306.49999999878","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","56856","0.0-1.0","","","","","",""
"24586.224999999104","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","81445","0.0-2.0","","","","","",""
"14556.684999995923","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","96003","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","99009","0.0-4.0-0.0","fixation","","","","",""
"4245.539999996254","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","5","103258","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","104261","0.0-4.0-0.1","fixation","","","","",""
"721.6350000016973","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","7","104984","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","105986","0.0-4.0-0.2","fixation","","","","",""
"1035.070000005362","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","9","107023","0.0-4.0-1.2","c1_train",".",",","","",""
"4199.659999998403","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","111224","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","114226","0.0-6.0-0.0","fixation","","","","",""
"6753.925000004529","Stimuli/Hangul_M3.bmp","188","image-keyboard-response","12","120982","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","121985","0.0-6.0-0.1","fixation","","","","",""
"3435.554999996384","Stimuli/Hangul_M13.bmp","190","image-keyboard-response","14","125423","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","126425","0.0-6.0-0.2","fixation","","","","",""
"5142.595000004803","Stimuli/Hangul_F3.bmp","190","image-keyboard-response","16","131570","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","132573","0.0-6.0-0.3","fixation","","","","",""
"4510.674999997718","Stimuli/Hangul_M12.bmp","188","image-keyboard-response","18","137086","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","138088","0.0-6.0-0.4","fixation","","","","",""
"7206.524999994144","Stimuli/Hangul_F21.bmp","190","image-keyboard-response","20","145297","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","146301","0.0-6.0-0.5","fixation","","","","",""
"10565.314999999828","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","22","156868","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","157870","0.0-6.0-0.6","fixation","","","","",""
"6744.614999995974","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","24","164618","0.0-6.0-1.6","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","165621","0.0-6.0-0.7","fixation","","","","",""
"162.16999999596737","Stimuli/Hangul_F9.bmp","188","image-keyboard-response","26","165785","0.0-6.0-1.7","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","166787","0.0-6.0-0.8","fixation","","","","",""
"4430.5549999990035","Stimuli/Hangul_F22.bmp","190","image-keyboard-response","28","171219","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","172220","0.0-6.0-0.9","fixation","","","","",""
"4829.630000000179","Stimuli/Hangul_F7.bmp","190","image-keyboard-response","30","177052","0.0-6.0-1.9","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","178054","0.0-6.0-0.10","fixation","","","","",""
"2914.199999999255","Stimuli/Hangul_F13.bmp","188","image-keyboard-response","32","180970","0.0-6.0-1.10","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","181972","0.0-6.0-0.11","fixation","","","","",""
"1295.2750000040396","Stimuli/Hangul_F24.bmp","188","image-keyboard-response","34","183269","0.0-6.0-1.11","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","184271","0.0-6.0-0.12","fixation","","","","",""
"793.0800000031013","Stimuli/Hangul_M10.bmp","188","image-keyboard-response","36","185066","0.0-6.0-1.12","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","186068","0.0-6.0-0.13","fixation","","","","",""
"505.7200000010198","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","38","186576","0.0-6.0-1.13","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","187577","0.0-6.0-0.14","fixation","","","","",""
"1147.9749999998603","Stimuli/Hangul_F11.bmp","188","image-keyboard-response","40","188728","0.0-6.0-1.14","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","189730","0.0-6.0-0.15","fixation","","","","",""
"7047.874999996566","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","42","196779","0.0-6.0-1.15","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","197781","0.0-6.0-0.16","fixation","","","","",""
"948.7550000048941","Stimuli/Hangul_F4.bmp","188","image-keyboard-response","44","198732","0.0-6.0-1.16","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","199735","0.0-6.0-0.17","fixation","","","","",""
"676.2799999996787","Stimuli/Hangul_M15.bmp","190","image-keyboard-response","46","200412","0.0-6.0-1.17","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","201418","0.0-6.0-0.18","fixation","","","","",""
"997.1799999984796","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","48","202416","0.0-6.0-1.18","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","203418","0.0-6.0-0.19","fixation","","","","",""
"1846.5849999993225","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","50","205266","0.0-6.0-1.19","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","206269","0.0-6.0-0.20","fixation","","","","",""
"473.5499999951571","Stimuli/Hangul_F12.bmp","188","image-keyboard-response","52","206744","0.0-6.0-1.20","test",".","",",","",""
