"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1686.9399999268353","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1786","0.0-0.0","","","","","",""
"18849.63999991305","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","20641","0.0-1.0","","","","","",""
"8411.275000078604","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","29055","0.0-2.0","","","","","",""
"2630.265000043437","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","31688","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","34695","0.0-4.0-0.0","fixation","","","","",""
"2320.4000000841916","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","5","37021","0.0-4.0-1.0","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","38025","0.0-4.0-0.1","fixation","","","","",""
"2125.0750001054257","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","7","40153","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","41156","0.0-4.0-0.2","fixation","","","","",""
"3025.804999982938","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","44183","0.0-4.0-1.2","c1_train",",",",","","",""
"1019.4950001314282","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","45205","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","48209","0.0-6.0-0.0","fixation","","","","",""
"2117.3300000373274","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","12","50331","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","51334","0.0-6.0-0.1","fixation","","","","",""
"1812.510000076145","Stimuli/Hangul_F19.bmp","190","image-keyboard-response","14","53149","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","54154","0.0-6.0-0.2","fixation","","","","",""
"1385.2649999316782","Stimuli/Hangul_M20.bmp","188","image-keyboard-response","16","55540","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","56545","0.0-6.0-0.3","fixation","","","","",""
"2434.9599999841303","Stimuli/Hangul_F1.bmp","188","image-keyboard-response","18","58984","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","59987","0.0-6.0-0.4","fixation","","","","",""
"2754.4799998868257","Stimuli/Hangul_F16.bmp","190","image-keyboard-response","20","62743","0.0-6.0-1.4","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","63745","0.0-6.0-0.5","fixation","","","","",""
"2508.4299999289215","Stimuli/Hangul_M1.bmp","188","image-keyboard-response","22","66256","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","67258","0.0-6.0-0.6","fixation","","","","",""
"2063.185000093654","Stimuli/Hangul_M10.bmp","190","image-keyboard-response","24","69323","0.0-6.0-1.6","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","70345","0.0-6.0-0.7","fixation","","","","",""
"1787.0450001209974","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","26","72140","0.0-6.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","73144","0.0-6.0-0.8","fixation","","","","",""
"1859.910000115633","Stimuli/Hangul_F17.bmp","190","image-keyboard-response","28","75006","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","76008","0.0-6.0-0.9","fixation","","","","",""
"1600.994999986142","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","30","77611","0.0-6.0-1.9","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","78614","0.0-6.0-0.10","fixation","","","","",""
"1654.8999999649823","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","32","80273","0.0-6.0-1.10","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","81276","0.0-6.0-0.11","fixation","","","","",""
