"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1833.6350000463426","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1841","0.0-0.0","","","","","",""
"21792.840000009164","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","23636","0.0-1.0","","","","","",""
"11156.469999928959","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","34794","0.0-2.0","","","","","",""
"3086.5350000094622","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","37882","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","40885","0.0-4.0-0.0","fixation","","","","",""
"2428.6400000564754","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","5","43317","0.0-4.0-1.0","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","44318","0.0-4.0-0.1","fixation","","","","",""
"2198.8000000128523","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","46518","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","47520","0.0-4.0-0.2","fixation","","","","",""
"1779.5300000580028","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","49300","0.0-4.0-1.2","c1_train",",",".","","",""
"2623.120000003837","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","51925","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","54927","0.0-6.0-0.0","fixation","","","","",""
"2175.8100000442937","Stimuli/Hangul_F22.bmp","188","image-keyboard-response","12","57105","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","58106","0.0-6.0-0.1","fixation","","","","",""
"2496.515000006184","Stimuli/Hangul_M20.bmp","190","image-keyboard-response","14","60604","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","61606","0.0-6.0-0.2","fixation","","","","",""
"2042.9249999579042","Stimuli/Hangul_M9.bmp","188","image-keyboard-response","16","63650","0.0-6.0-1.2","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","64651","0.0-6.0-0.3","fixation","","","","",""
"2549.0999999456108","Stimuli/Hangul_M15.bmp","188","image-keyboard-response","18","67201","0.0-6.0-1.3","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","68203","0.0-6.0-0.4","fixation","","","","",""
"2378.6000000545755","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","20","70584","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","71586","0.0-6.0-0.5","fixation","","","","",""
"1929.8049999633804","Stimuli/Hangul_M13.bmp","190","image-keyboard-response","22","73518","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","74520","0.0-6.0-0.6","fixation","","","","",""
"2259.46499989368","Stimuli/Hangul_M24.bmp","190","image-keyboard-response","24","76780","0.0-6.0-1.6","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","77792","0.0-6.0-0.7","fixation","","","","",""
"2187.1749999700114","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","26","79983","0.0-6.0-1.7","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","80984","0.0-6.0-0.8","fixation","","","","",""
"2219.954999978654","Stimuli/Hangul_F8.bmp","190","image-keyboard-response","28","83206","0.0-6.0-1.8","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","84208","0.0-6.0-0.9","fixation","","","","",""
"2182.0699999807402","Stimuli/Hangul_F23.bmp","188","image-keyboard-response","30","86391","0.0-6.0-1.9","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","87392","0.0-6.0-0.10","fixation","","","","",""
"2275.4249999998137","Stimuli/Hangul_F12.bmp","190","image-keyboard-response","32","89669","0.0-6.0-1.10","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","90671","0.0-6.0-0.11","fixation","","","","",""
"1857.3650000616908","Stimuli/Hangul_F1.bmp","190","image-keyboard-response","34","92529","0.0-6.0-1.11","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","35","93531","0.0-6.0-0.12","fixation","","","","",""
"1975.8949999231845","Stimuli/Hangul_F24.bmp","188","image-keyboard-response","36","95508","0.0-6.0-1.12","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","37","96511","0.0-6.0-0.13","fixation","","","","",""
"1984.5450000138953","Stimuli/Hangul_F10.bmp","190","image-keyboard-response","38","98496","0.0-6.0-1.13","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","39","99498","0.0-6.0-0.14","fixation","","","","",""
"1959.9300000118092","Stimuli/Hangul_M3.bmp","188","image-keyboard-response","40","101459","0.0-6.0-1.14","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","41","102461","0.0-6.0-0.15","fixation","","","","",""
"1973.8800000632182","Stimuli/Hangul_F7.bmp","188","image-keyboard-response","42","104436","0.0-6.0-1.15","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","43","105438","0.0-6.0-0.16","fixation","","","","",""
"2733.5949999978766","Stimuli/Hangul_F2.bmp","190","image-keyboard-response","44","108173","0.0-6.0-1.16","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","45","109175","0.0-6.0-0.17","fixation","","","","",""
"1914.1949999611825","Stimuli/Hangul_F11.bmp","188","image-keyboard-response","46","111090","0.0-6.0-1.17","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","47","112092","0.0-6.0-0.18","fixation","","","","",""
"2116.260000038892","Stimuli/Hangul_F3.bmp","188","image-keyboard-response","48","114209","0.0-6.0-1.18","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","49","115211","0.0-6.0-0.19","fixation","","","","",""
"2302.394999889657","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","50","117515","0.0-6.0-1.19","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","51","118516","0.0-6.0-0.20","fixation","","","","",""
"2236.1350000137463","Stimuli/Hangul_F16.bmp","188","image-keyboard-response","52","120753","0.0-6.0-1.20","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","53","121756","0.0-6.0-0.21","fixation","","","","",""
"2137.4249999644235","Stimuli/Hangul_M7.bmp","190","image-keyboard-response","54","123894","0.0-6.0-1.21","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","55","124896","0.0-6.0-0.22","fixation","","","","",""
"1977.7999999932945","Stimuli/Hangul_M19.bmp","190","image-keyboard-response","56","126875","0.0-6.0-1.22","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","57","127877","0.0-6.0-0.23","fixation","","","","",""
"2163.3350000483915","Stimuli/Hangul_F20.bmp","188","image-keyboard-response","58","130042","0.0-6.0-1.23","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","59","131043","0.0-6.0-0.24","fixation","","","","",""
"1938.369999988936","Stimuli/Hangul_M22.bmp","188","image-keyboard-response","60","132983","0.0-6.0-1.24","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","61","133994","0.0-6.0-0.25","fixation","","","","",""
"1807.5699999462813","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","62","135802","0.0-6.0-1.25","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","63","136803","0.0-6.0-0.26","fixation","","","","",""
"2045.7450000103563","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","64","138850","0.0-6.0-1.26","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","65","139852","0.0-6.0-0.27","fixation","","","","",""
"1981.359999976121","Stimuli/Hangul_M16.bmp","188","image-keyboard-response","66","141834","0.0-6.0-1.27","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","67","142836","0.0-6.0-0.28","fixation","","","","",""
"2083.974999957718","Stimuli/Hangul_M18.bmp","188","image-keyboard-response","68","144921","0.0-6.0-1.28","test",",","",",","",""
