"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"1399.9250000342727","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","1412","0.0-0.0","","","","","",""
"4722.334999998566","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","190","html-keyboard-response","1","6136","0.0-1.0","","","","","",""
"1192.5150000024587","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","7329","0.0-2.0","","","","","",""
"1623.5449999803677","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","8954","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","11958","0.0-4.0-0.0","fixation","","","","",""
"1491.565000033006","Stimuli/Hangul_E0.bmp","190","image-keyboard-response","5","13454","0.0-4.0-1.0","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","14456","0.0-4.0-0.1","fixation","","","","",""
"1994.2499999888241","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","7","16452","0.0-4.0-1.1","c1_train",",",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","17454","0.0-4.0-0.2","fixation","","","","",""
"1744.5549999829382","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","9","19199","0.0-4.0-1.2","c1_train",".",".","","",""
"1185.315000009723","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","20386","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","23392","0.0-6.0-0.0","fixation","","","","",""
"894.3749999743886","Stimuli/Hangul_F24.bmp","190","image-keyboard-response","12","24288","0.0-6.0-1.0","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","25290","0.0-6.0-0.1","fixation","","","","",""
"1367.1299999696203","Stimuli/Hangul_M17.bmp","190","image-keyboard-response","14","26658","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","27660","0.0-6.0-0.2","fixation","","","","",""
"1807.779999973718","Stimuli/Hangul_F17.bmp","190","image-keyboard-response","16","29469","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","30472","0.0-6.0-0.3","fixation","","","","",""
"1317.6149999490008","Stimuli/Hangul_F15.bmp","190","image-keyboard-response","18","31791","0.0-6.0-1.3","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","32793","0.0-6.0-0.4","fixation","","","","",""
"1393.8999999663793","Stimuli/Hangul_M8.bmp","188","image-keyboard-response","20","34188","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","35190","0.0-6.0-0.5","fixation","","","","",""
"1304.4099999824539","Stimuli/Hangul_M19.bmp","190","image-keyboard-response","22","36496","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","37499","0.0-6.0-0.6","fixation","","","","",""
