"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"11039","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","11044","0.0-0.0","","","","","",""
"20605","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","31653","0.0-1.0","","","","","",""
"6948","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","38604","0.0-2.0","","","","","",""
"2910","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","41516","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","44549","0.0-4.0-0.0","fixation","","","","",""
"1819","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","46375","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","47377","0.0-4.0-0.1","fixation","","","","",""
"1786","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","7","49168","0.0-4.0-1.1","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","50179","0.0-4.0-0.2","fixation","","","","",""
"1256","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","9","51439","0.0-4.0-1.2","c1_train",",",",","","",""
"1769","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","53212","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","56239","0.0-6.0-0.0","fixation","","","","",""
"1714","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","12","57962","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","58973","0.0-6.0-0.1","fixation","","","","",""
"1178","Stimuli/Hangul_F20.bmp","190","image-keyboard-response","14","60154","0.0-6.0-1.1","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","61169","0.0-6.0-0.2","fixation","","","","",""
"1653","Stimuli/Hangul_M5.bmp","190","image-keyboard-response","16","62826","0.0-6.0-1.2","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","63840","0.0-6.0-0.3","fixation","","","","",""
"1425","Stimuli/Hangul_F0.bmp","188","image-keyboard-response","18","65268","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","66288","0.0-6.0-0.4","fixation","","","","",""
"1007","Stimuli/Hangul_M12.bmp","190","image-keyboard-response","20","67302","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","68309","0.0-6.0-0.5","fixation","","","","",""
"1323","Stimuli/Hangul_M17.bmp","190","image-keyboard-response","22","69636","0.0-6.0-1.5","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","70648","0.0-6.0-0.6","fixation","","","","",""
"1339","Stimuli/Hangul_F10.bmp","188","image-keyboard-response","24","71990","0.0-6.0-1.6","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","73005","0.0-6.0-0.7","fixation","","","","",""
"970","Stimuli/Hangul_F23.bmp","190","image-keyboard-response","26","73982","0.0-6.0-1.7","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","74998","0.0-6.0-0.8","fixation","","","","",""
"1147","Stimuli/Hangul_F14.bmp","188","image-keyboard-response","28","76149","0.0-6.0-1.8","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","77159","0.0-6.0-0.9","fixation","","","","",""
"891","Stimuli/Hangul_M16.bmp","190","image-keyboard-response","30","78053","0.0-6.0-1.9","test",",","",".","",""
