"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2251.9999998621643","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","2267","0.0-0.0","","","","","",""
"5679.000000003725","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","7948","0.0-1.0","","","","","",""
"1420.9999998565763","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","9370","0.0-2.0","","","","","",""
"942.9999999701977","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","10315","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","13319","0.0-4.0-0.0","fixation","","","","",""
"783.0000000540167","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","5","14104","0.0-4.0-1.0","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","15106","0.0-4.0-0.1","fixation","","","","",""
"103.00000011920929","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","15211","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","16214","0.0-4.0-0.2","fixation","","","","",""
"229.00000005029142","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","16443","0.0-4.0-1.2","c1_train",",",".","","",""
"2650.0000001396984","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","19094","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","22095","0.0-6.0-0.0","fixation","","","","",""
"57.00000002980232","Stimuli/Hangul_M15.bmp","188","image-keyboard-response","12","22154","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","23157","0.0-6.0-0.1","fixation","","","","",""
"54.99999993480742","Stimuli/Hangul_M13.bmp","190","image-keyboard-response","14","23215","0.0-6.0-1.1","test",",","",".","",""
