"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"2982.905000000086","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","3005","0.0-0.0","","","","","",""
"23633.859999999913","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","26643","0.0-1.0","","","","","",""
"7926.8449999999575","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","34574","0.0-2.0","","","","","",""
"4927.095000000001","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","39504","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","42529","0.0-4.0-0.0","fixation","","","","",""
"4242.430000000022","Stimuli/Hangul_E1.bmp","188","image-keyboard-response","5","46777","0.0-4.0-1.0","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","47790","0.0-4.0-0.1","fixation","","","","",""
"3467.6299999998882","Stimuli/Hangul_E2.bmp","190","image-keyboard-response","7","51262","0.0-4.0-1.1","c1_train",".",".","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","52284","0.0-4.0-0.2","fixation","","","","",""
"2904.0899999999965","Stimuli/Hangul_E0.bmp","190","image-keyboard-response","9","55191","0.0-4.0-1.2","c1_train",",",".","","",""
"2438.7750000000815","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","57627","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","60651","0.0-6.0-0.0","fixation","","","","",""
"2944.4100000000617","Stimuli/Hangul_F4.bmp","188","image-keyboard-response","12","63599","0.0-6.0-1.0","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","64610","0.0-6.0-0.1","fixation","","","","",""
"2272.420000000013","Stimuli/Hangul_M0.bmp","190","image-keyboard-response","14","66886","0.0-6.0-1.1","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","67902","0.0-6.0-0.2","fixation","","","","",""
"2817.9849999998987","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","16","70723","0.0-6.0-1.2","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","71744","0.0-6.0-0.3","fixation","","","","",""
"3660.8449999998847","Stimuli/Hangul_F15.bmp","188","image-keyboard-response","18","75415","0.0-6.0-1.3","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","76431","0.0-6.0-0.4","fixation","","","","",""
"3541.4150000001537","Stimuli/Hangul_M2.bmp","188","image-keyboard-response","20","79977","0.0-6.0-1.4","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","80984","0.0-6.0-0.5","fixation","","","","",""
"3748.9850000001898","Stimuli/Hangul_M7.bmp","188","image-keyboard-response","22","84738","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","85747","0.0-6.0-0.6","fixation","","","","",""
"4577.909999999974","Stimuli/Hangul_F14.bmp","190","image-keyboard-response","24","90328","0.0-6.0-1.6","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","91346","0.0-6.0-0.7","fixation","","","","",""
"4994.149999999994","Stimuli/Hangul_M19.bmp","190","image-keyboard-response","26","96347","0.0-6.0-1.7","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","27","97352","0.0-6.0-0.8","fixation","","","","",""
"3718.560000000027","Stimuli/Hangul_M15.bmp","190","image-keyboard-response","28","101080","0.0-6.0-1.8","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","29","102083","0.0-6.0-0.9","fixation","","","","",""
"2467.920000000042","Stimuli/Hangul_M21.bmp","188","image-keyboard-response","30","104559","0.0-6.0-1.9","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","31","105578","0.0-6.0-0.10","fixation","","","","",""
"2641.4849999998696","Stimuli/Hangul_F1.bmp","188","image-keyboard-response","32","108224","0.0-6.0-1.10","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","33","109238","0.0-6.0-0.11","fixation","","","","",""
