"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","C1_train","C1","A","C2"
"8111.120000015944","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","8116","0.0-0.0","","","","","",""
"22793.809999944642","<p style=""color:white;"">You will see a series of abstract figures. They are adaptations of signs in the Korean alphabet, but that is not important for this study. </p><p style=""color:white;"">Abstract figures sometimes have a more masculine or feminine shape. Here, each figure has already been assigned a gender as <q>Male</q> or <q>Female</q> by a panel of respondents in a pilot study. The respondents were not given specific instructions on how to do this, but were only told to use their intuition and to take into account the entire configuration of the stimulus. </p><p style=""color:white;"">Your task now is to guess the assigned gender of each figure. Please press the corresponding response keys to indicate your choice: </p><p style=""color:white;""> Male &#8594 <q>,</q> (comma)</p><p style=""color:white;""> Female &#8594 <q>.</q> (period)</p><p style=""color:white;"">Press either response keys to continue.</p>","188","html-keyboard-response","1","30911","0.0-1.0","","","","","",""
"11120.520000113174","<p style=""color:white;"">Your choice is correct if it matches the gender assigned by the majority of respondents in the pilot study.</p> <p style=""color:white;"">For each correct choice you will receive 2 cents. There will be 200 trials divided into 4 blocks of 50 trials. You will be able to take a break after every 50 trials.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","2","42032","0.0-2.0","","","","","",""
"4125.89000002481","<p style=""color:white;"">Here are some examples.</p> <p style=""color:white;"">For each, guess whether the assigned figure is male-like or female-like and indicate your choice by pressing either response keys.</p> <p style=""color:white;"">Press the space bar to continue.</p>","32","html-keyboard-response","3","46158","0.0-3.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","4","49161","0.0-4.0-0.0","fixation","","","","",""
"1802.3149999789894","Stimuli/Hangul_E2.bmp","188","image-keyboard-response","5","50965","0.0-4.0-1.0","c1_train",".",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","6","51967","0.0-4.0-0.1","fixation","","","","",""
"1976.0549999773502","Stimuli/Hangul_E0.bmp","188","image-keyboard-response","7","53943","0.0-4.0-1.1","c1_train",",",",","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","8","54944","0.0-4.0-0.2","fixation","","","","",""
"2182.5449999887496","Stimuli/Hangul_E1.bmp","190","image-keyboard-response","9","57128","0.0-4.0-1.2","c1_train",",",".","","",""
"84380.58499991894","<p style=""color:white;"">Let us begin! Press the space bar when you are ready to start block 1 of 4.</p> ","32","html-keyboard-response","10","141509","0.0-5.0","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","11","144511","0.0-6.0-0.0","fixation","","","","",""
"2111.490000039339","Stimuli/Hangul_M19.bmp","188","image-keyboard-response","12","146624","0.0-6.0-1.0","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","13","147625","0.0-6.0-0.1","fixation","","","","",""
"2800.4799999762326","Stimuli/Hangul_M4.bmp","188","image-keyboard-response","14","150426","0.0-6.0-1.1","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","15","151428","0.0-6.0-0.2","fixation","","","","",""
"2398.5500000417233","Stimuli/Hangul_F6.bmp","190","image-keyboard-response","16","153827","0.0-6.0-1.2","test",".","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","17","154829","0.0-6.0-0.3","fixation","","","","",""
"2987.5399998854846","Stimuli/Hangul_M24.bmp","190","image-keyboard-response","18","157817","0.0-6.0-1.3","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","19","158818","0.0-6.0-0.4","fixation","","","","",""
"1961.1500001046807","Stimuli/Hangul_M2.bmp","190","image-keyboard-response","20","160780","0.0-6.0-1.4","test",",","",".","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","21","161781","0.0-6.0-0.5","fixation","","","","",""
"3621.3199999183416","Stimuli/Hangul_M14.bmp","188","image-keyboard-response","22","165403","0.0-6.0-1.5","test",",","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","166404","0.0-6.0-0.6","fixation","","","","",""
"3011.790000135079","Stimuli/Hangul_F5.bmp","188","image-keyboard-response","24","169417","0.0-6.0-1.6","test",".","",",","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","25","170422","0.0-6.0-0.7","fixation","","","","",""
